geoid,name,total,male_total,female_total,total_same_house,male_same_house,female_same_house,total_moved_within_county,male_moved_within_county,female_moved_within_county,total_moved_from_different_county_in_same_state,male_moved_from_different_county_in_same_state,female_moved_from_different_county_in_same_state,total_moved_from_different_state,male_moved_from_different_state,female_moved_from_different_state,total_moved_from_abroad,male_moved_from_abroad,female_moved_from_abroad,county,county subdivision,state
2502751825,"Oxford town, Worcester County, Massachusetts",13591.0,6736.0,6855.0,12335.0,6139.0,6196.0,921.0,395.0,526.0,203.0,159.0,44.0,116.0,43.0,73.0,16.0,0.0,16.0,027,51825,25
2502766105,"Spencer town, Worcester County, Massachusetts",11627.0,5988.0,5639.0,10328.0,5266.0,5062.0,1196.0,692.0,504.0,35.0,2.0,33.0,28.0,10.0,18.0,40.0,18.0,22.0,027,66105,25
2502773090,"Warren town, Worcester County, Massachusetts",5082.0,2584.0,2498.0,5041.0,2564.0,2477.0,22.0,20.0,2.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,027,73090,25
2502780405,"Winchendon town, Worcester County, Massachusetts",10626.0,5587.0,5039.0,9173.0,4835.0,4338.0,1172.0,565.0,607.0,103.0,88.0,15.0,175.0,96.0,79.0,3.0,3.0,0.0,027,80405,25
250272480,"Athol town, Worcester County, Massachusetts",11616.0,5276.0,6340.0,9991.0,4588.0,5403.0,974.0,345.0,629.0,221.0,128.0,93.0,305.0,198.0,107.0,125.0,17.0,108.0,027,2480,25
250276365,"Bolton town, Worcester County, Massachusetts",5104.0,2519.0,2585.0,4763.0,2407.0,2356.0,155.0,40.0,115.0,68.0,35.0,33.0,47.0,27.0,20.0,71.0,10.0,61.0,027,6365,25
250277525,"Boylston town, Worcester County, Massachusetts",4477.0,2222.0,2255.0,4261.0,2128.0,2133.0,153.0,58.0,95.0,19.0,11.0,8.0,41.0,22.0,19.0,3.0,3.0,0.0,027,7525,25
2502712715,"Charlton town, Worcester County, Massachusetts",13300.0,6100.0,7200.0,12509.0,5765.0,6744.0,706.0,302.0,404.0,61.0,33.0,28.0,24.0,0.0,24.0,0.0,0.0,0.0,027,12715,25
2502752420,"Paxton town, Worcester County, Massachusetts",4835.0,2489.0,2346.0,4277.0,2226.0,2051.0,370.0,155.0,215.0,77.0,30.0,47.0,92.0,59.0,33.0,19.0,19.0,0.0,027,52420,25
250271885,"Ashburnham town, Worcester County, Massachusetts",6166.0,3021.0,3145.0,5598.0,2812.0,2786.0,323.0,68.0,255.0,108.0,39.0,69.0,99.0,88.0,11.0,38.0,14.0,24.0,027,1885,25
2502728740,"Hardwick town, Worcester County, Massachusetts",2977.0,1702.0,1275.0,2761.0,1567.0,1194.0,110.0,53.0,57.0,42.0,27.0,15.0,52.0,43.0,9.0,12.0,12.0,0.0,027,28740,25
2502758580,"Royalston town, Worcester County, Massachusetts",1291.0,630.0,661.0,1217.0,602.0,615.0,30.0,16.0,14.0,19.0,12.0,7.0,25.0,0.0,25.0,0.0,0.0,0.0,027,58580,25
2502718560,"East Brookfield town, Worcester County, Massachusetts",2069.0,1057.0,1012.0,1928.0,1009.0,919.0,91.0,28.0,63.0,33.0,16.0,17.0,17.0,4.0,13.0,0.0,0.0,0.0,027,18560,25
2502730945,"Hopedale town, Worcester County, Massachusetts",5837.0,2695.0,3142.0,5550.0,2564.0,2986.0,47.0,37.0,10.0,49.0,14.0,35.0,191.0,80.0,111.0,0.0,0.0,0.0,027,30945,25
2502740255,"Mendon town, Worcester County, Massachusetts",5957.0,3012.0,2945.0,5747.0,2920.0,2827.0,92.0,44.0,48.0,115.0,45.0,70.0,3.0,3.0,0.0,0.0,0.0,0.0,027,40255,25
2502741165,"Milford town, Worcester County, Massachusetts",28378.0,14002.0,14376.0,25936.0,12805.0,13131.0,1241.0,612.0,629.0,792.0,359.0,433.0,276.0,164.0,112.0,133.0,62.0,71.0,027,41165,25
2502741585,"Millville town, Worcester County, Massachusetts",3198.0,1519.0,1679.0,3083.0,1471.0,1612.0,31.0,15.0,16.0,62.0,16.0,46.0,17.0,17.0,0.0,5.0,0.0,5.0,027,41585,25
2502753225,"Phillipston town, Worcester County, Massachusetts",1637.0,783.0,854.0,1531.0,739.0,792.0,69.0,34.0,35.0,34.0,10.0,24.0,3.0,0.0,3.0,0.0,0.0,0.0,027,53225,25
2502768155,"Sturbridge town, Worcester County, Massachusetts",9398.0,4359.0,5039.0,8779.0,4097.0,4682.0,418.0,160.0,258.0,67.0,42.0,25.0,133.0,59.0,74.0,1.0,1.0,0.0,027,68155,25
2502771480,"Upton town, Worcester County, Massachusetts",7739.0,3985.0,3754.0,7077.0,3720.0,3357.0,474.0,214.0,260.0,143.0,36.0,107.0,43.0,13.0,30.0,2.0,2.0,0.0,027,71480,25
2502755395,"Princeton town, Worcester County, Massachusetts",3393.0,1731.0,1662.0,3212.0,1622.0,1590.0,124.0,79.0,45.0,50.0,30.0,20.0,7.0,0.0,7.0,0.0,0.0,0.0,027,55395,25
250273740,"Barre town, Worcester County, Massachusetts",5449.0,2773.0,2676.0,5189.0,2580.0,2609.0,216.0,149.0,67.0,32.0,32.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,027,3740,25
250275490,"Berlin town, Worcester County, Massachusetts",3076.0,1535.0,1541.0,2837.0,1432.0,1405.0,81.0,37.0,44.0,108.0,54.0,54.0,46.0,12.0,34.0,4.0,0.0,4.0,027,5490,25
2502735075,"Leominster city, Worcester County, Massachusetts",40908.0,19226.0,21682.0,36343.0,17100.0,19243.0,3328.0,1564.0,1764.0,454.0,201.0,253.0,645.0,306.0,339.0,138.0,55.0,83.0,027,35075,25
2502767385,"Sterling town, Worcester County, Massachusetts",7877.0,3789.0,4088.0,7458.0,3554.0,3904.0,292.0,185.0,107.0,64.0,22.0,42.0,63.0,28.0,35.0,0.0,0.0,0.0,027,67385,25
2502758825,"Rutland town, Worcester County, Massachusetts",8389.0,4302.0,4087.0,8059.0,4120.0,3939.0,303.0,169.0,134.0,0.0,0.0,0.0,27.0,13.0,14.0,0.0,0.0,0.0,027,58825,25
2502769275,"Templeton town, Worcester County, Massachusetts",8070.0,3995.0,4075.0,7202.0,3609.0,3593.0,688.0,324.0,364.0,180.0,62.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,027,69275,25
250272760,"Auburn town, Worcester County, Massachusetts",16441.0,8014.0,8427.0,15442.0,7531.0,7911.0,669.0,308.0,361.0,198.0,87.0,111.0,107.0,74.0,33.0,25.0,14.0,11.0,027,2760,25
