geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,county,county subdivision,state,total_with_internet,total_no_internet
0806791862,"Ignacio CCD, La Plata County, Colorado",2288.0,1876.0,28.0,1384.0,464.0,412.0,067,91862,08,1412.0,876.0
0806790266,"Bayfield CCD, La Plata County, Colorado",3837.0,3493.0,101.0,2882.0,510.0,344.0,067,90266,08,2983.0,854.0
0806791083,"Durango CCD, La Plata County, Colorado",13462.0,12294.0,87.0,10887.0,1320.0,1168.0,067,91083,08,10974.0,2488.0
0808191017,"Dinosaur CCD, Moffat County, Colorado",143.0,106.0,0.0,86.0,20.0,37.0,081,91017,08,86.0,57.0
0806791102,"Durango Southwest CCD, La Plata County, Colorado",2231.0,1926.0,30.0,1594.0,302.0,305.0,067,91102,08,1624.0,607.0
0808192432,"Maybell-Powder Wash CCD, Moffat County, Colorado",91.0,62.0,0.0,55.0,7.0,29.0,081,92432,08,55.0,36.0
0808190855,"Craig CCD, Moffat County, Colorado",4869.0,4222.0,30.0,3730.0,462.0,647.0,081,90855,08,3760.0,1109.0
0809790171,"Aspen CCD, Pitkin County, Colorado",4321.0,4097.0,83.0,3771.0,243.0,224.0,097,90171,08,3854.0,467.0
0809793344,"Snowmass Village CCD, Pitkin County, Colorado",3019.0,2854.0,40.0,2671.0,143.0,165.0,097,93344,08,2711.0,308.0
0810592527,"Monte Vista CCD, Rio Grande County, Colorado",2508.0,1777.0,6.0,1554.0,217.0,731.0,105,92527,08,1560.0,948.0
0801790646,"Cheyenne Wells CCD, Cheyenne County, Colorado",572.0,468.0,5.0,436.0,27.0,104.0,017,90646,08,441.0,131.0
0810593230,"Sargent CCD, Rio Grande County, Colorado",492.0,379.0,4.0,309.0,66.0,113.0,105,93230,08,313.0,179.0
0810590969,"Del Norte CCD, Rio Grande County, Colorado",1750.0,1388.0,46.0,1102.0,240.0,362.0,105,90969,08,1148.0,602.0
0801792014,"Kit Carson CCD, Cheyenne County, Colorado",204.0,178.0,4.0,148.0,26.0,26.0,017,92014,08,152.0,52.0
0801192185,"Las Animas CCD, Bent County, Colorado",1297.0,1003.0,21.0,869.0,113.0,294.0,011,92185,08,890.0,407.0
0801192356,"McClave CCD, Bent County, Colorado",377.0,337.0,4.0,304.0,29.0,40.0,011,92356,08,308.0,69.0
0802592755,"Ordway CCD, Crowley County, Colorado",978.0,814.0,20.0,723.0,71.0,164.0,025,92755,08,743.0,235.0
0802593553,"Sugar City CCD, Crowley County, Colorado",237.0,215.0,0.0,198.0,17.0,22.0,025,93553,08,198.0,39.0
0803393078,"Rico CCD, Dolores County, Colorado",125.0,97.0,3.0,85.0,9.0,28.0,033,93078,08,88.0,37.0
0803391064,"Dove Creek CCD, Dolores County, Colorado",582.0,473.0,21.0,366.0,86.0,109.0,033,91064,08,387.0,195.0
0811193306,"Silverton CCD, San Juan County, Colorado",255.0,226.0,7.0,201.0,18.0,29.0,111,93306,08,208.0,47.0
0805793724,"Walden CCD, Jackson County, Colorado",597.0,496.0,4.0,423.0,69.0,101.0,057,93724,08,427.0,170.0
0806992299,"Livermore CCD, Larimer County, Colorado",1913.0,1738.0,50.0,1492.0,196.0,175.0,069,92299,08,1542.0,371.0
0806993610,"Timnath-Wellington CCD, Larimer County, Colorado",8267.0,8042.0,91.0,7318.0,633.0,225.0,069,93610,08,7409.0,858.0
0806990285,"Berthoud CCD, Larimer County, Colorado",4983.0,4698.0,28.0,4272.0,398.0,285.0,069,90285,08,4300.0,683.0
0806992337,"Loveland CCD, Larimer County, Colorado",42924.0,40446.0,309.0,36712.0,3425.0,2478.0,069,92337,08,37021.0,5903.0
0806991235,"Estes Park CCD, Larimer County, Colorado",5443.0,5076.0,56.0,4424.0,596.0,367.0,069,91235,08,4480.0,963.0
0806991330,"Fort Collins CCD, Larimer County, Colorado",66972.0,63408.0,365.0,58468.0,4575.0,3564.0,069,91330,08,58833.0,8139.0
0807590931,"Crook CCD, Logan County, Colorado",323.0,298.0,14.0,272.0,12.0,25.0,075,90931,08,286.0,37.0
0807592470,"Merino CCD, Logan County, Colorado",365.0,298.0,3.0,256.0,39.0,67.0,075,92470,08,259.0,106.0
0807591292,"Fleming CCD, Logan County, Colorado",626.0,588.0,9.0,546.0,33.0,38.0,075,91292,08,555.0,71.0
0807592869,"Peetz CCD, Logan County, Colorado",165.0,137.0,4.0,123.0,10.0,28.0,075,92869,08,127.0,38.0
0807593515,"Sterling CCD, Logan County, Colorado",6672.0,5534.0,57.0,4961.0,516.0,1138.0,075,93515,08,5018.0,1654.0
0808392394,"Mancos CCD, Montezuma County, Colorado",1483.0,1329.0,0.0,1041.0,288.0,154.0,083,92394,08,1041.0,442.0
0808393705,"Ute Mountain CCD, Montezuma County, Colorado",539.0,393.0,2.0,167.0,224.0,146.0,083,93705,08,169.0,370.0
0808390817,"Cortez CCD, Montezuma County, Colorado",6926.0,5738.0,98.0,4641.0,999.0,1188.0,083,90817,08,4739.0,2187.0
0808391045,"Dolores CCD, Montezuma County, Colorado",1357.0,1238.0,10.0,1072.0,156.0,119.0,083,91045,08,1082.0,275.0
0808392945,"Pleasant View CCD, Montezuma County, Colorado",215.0,170.0,0.0,144.0,26.0,45.0,083,92945,08,144.0,71.0
0811392679,"Norwood CCD, San Miguel County, Colorado",637.0,585.0,23.0,477.0,85.0,52.0,113,92679,08,500.0,137.0
0811393591,"Telluride CCD, San Miguel County, Colorado",2556.0,2433.0,5.0,2073.0,355.0,123.0,113,93591,08,2078.0,478.0
0811990912,"Cripple Creek CCD, Teller County, Colorado",1440.0,1228.0,12.0,1042.0,174.0,212.0,119,90912,08,1054.0,386.0
0811991026,"Divide CCD, Teller County, Colorado",8636.0,8168.0,103.0,7648.0,417.0,468.0,119,91026,08,7751.0,885.0
0801393686,"Upper St. Vrain CCD, Boulder County, Colorado",442.0,389.0,0.0,343.0,46.0,53.0,013,93686,08,343.0,99.0
0801390342,"Boulder CCD, Boulder County, Colorado",50445.0,48764.0,128.0,45131.0,3505.0,1681.0,013,90342,08,45259.0,5186.0
0801392318,"Longmont CCD, Boulder County, Colorado",40741.0,37786.0,191.0,34577.0,3018.0,2955.0,013,92318,08,34768.0,5973.0
0801392052,"Lafayette-Louisville CCD, Boulder County, Colorado",28088.0,27121.0,143.0,25618.0,1360.0,967.0,013,92052,08,25761.0,2327.0
0801390228,"Bald Mountain CCD, Boulder County, Colorado",5310.0,5128.0,33.0,4667.0,428.0,182.0,013,90228,08,4700.0,610.0
0800792812,"Pagosa Springs CCD, Archuleta County, Colorado",5198.0,4678.0,60.0,4112.0,506.0,520.0,007,92812,08,4172.0,1026.0
0800790114,"Arboles CCD, Archuleta County, Colorado",355.0,293.0,3.0,267.0,23.0,62.0,007,90114,08,270.0,85.0
0809591767,"Holyoke CCD, Phillips County, Colorado",1161.0,1045.0,0.0,893.0,152.0,116.0,095,91767,08,893.0,268.0
0809591710,"Haxtun CCD, Phillips County, Colorado",535.0,467.0,21.0,418.0,28.0,68.0,095,91710,08,439.0,96.0
0803191007,"Denver CCD, Denver County, Colorado",287262.0,259036.0,1462.0,232171.0,25403.0,28226.0,031,91007,08,233633.0,53629.0
0806191691,"Haswell CCD, Kiowa County, Colorado",43.0,35.0,0.0,29.0,6.0,8.0,061,91691,08,29.0,14.0
0806193268,"Sheridan Lake CCD, Kiowa County, Colorado",141.0,126.0,0.0,115.0,11.0,15.0,061,93268,08,115.0,26.0
0806191121,"Eads CCD, Kiowa County, Colorado",392.0,320.0,0.0,296.0,24.0,72.0,061,91121,08,296.0,96.0
0805592204,"La Veta CCD, Huerfano County, Colorado",757.0,686.0,16.0,558.0,112.0,71.0,055,92204,08,574.0,183.0
0805591444,"Gardner CCD, Huerfano County, Colorado",277.0,277.0,11.0,188.0,78.0,0.0,055,91444,08,199.0,78.0
0805593743,"Walsenburg CCD, Huerfano County, Colorado",2139.0,1482.0,67.0,1160.0,255.0,657.0,055,93743,08,1227.0,912.0
0800990475,"Campo CCD, Baca County, Colorado",112.0,89.0,0.0,66.0,23.0,23.0,009,90475,08,66.0,46.0
0800993477,"Springfield CCD, Baca County, Colorado",877.0,701.0,0.0,596.0,105.0,176.0,009,93477,08,596.0,281.0
0800993762,"Walsh CCD, Baca County, Colorado",498.0,417.0,5.0,358.0,54.0,81.0,009,93762,08,363.0,135.0
0800992964,"Pritchett CCD, Baca County, Colorado",116.0,93.0,1.0,85.0,7.0,23.0,009,92964,08,86.0,30.0
0801593173,"Salida CCD, Chaffee County, Colorado",4614.0,4066.0,11.0,3648.0,407.0,548.0,015,93173,08,3659.0,955.0
0801590437,"Buena Vista CCD, Chaffee County, Colorado",3286.0,2957.0,58.0,2681.0,218.0,329.0,015,90437,08,2739.0,547.0
0804790570,"Central City CCD, Gilpin County, Colorado",2603.0,2419.0,17.0,2104.0,298.0,184.0,047,90570,08,2121.0,482.0
0806391273,"Flagler CCD, Kit Carson County, Colorado",481.0,407.0,7.0,356.0,44.0,74.0,063,91273,08,363.0,118.0
0806393534,"Stratton CCD, Kit Carson County, Colorado",585.0,500.0,4.0,433.0,63.0,85.0,063,93534,08,437.0,148.0
0806390456,"Burlington CCD, Kit Carson County, Colorado",1929.0,1563.0,2.0,1391.0,170.0,366.0,063,90456,08,1393.0,536.0
0804591520,"Glenwood Springs CCD, Garfield County, Colorado",9406.0,8939.0,160.0,7869.0,910.0,467.0,045,91520,08,8029.0,1377.0
0804593097,"Rifle CCD, Garfield County, Colorado",4647.0,4095.0,60.0,3402.0,633.0,552.0,045,93097,08,3462.0,1185.0
0804592603,"New Castle CCD, Garfield County, Colorado",4316.0,3976.0,53.0,3657.0,266.0,340.0,045,92603,08,3710.0,606.0
0805193211,"Sapinero CCD, Gunnison County, Colorado",135.0,131.0,0.0,109.0,22.0,4.0,051,93211,08,109.0,26.0
