geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
0804390494,"Cañon City CCD, Fremont County, Colorado",29708.0,23869.0,1262.0,180.0,83.0,3.0,11.0,287.0,4013.0,043,90494,08,86.0,478.0
0804593832,"West Garfield CCD, Garfield County, Colorado",6987.0,4573.0,27.0,19.0,110.0,0.0,84.0,204.0,1970.0,045,93832,08,110.0,307.0
0811593450,"South Sedgwick CCD, Sedgwick County, Colorado",288.0,278.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,115,93450,08,0.0,4.0
0812193905,"Woodlin CCD, Washington County, Colorado",486.0,466.0,0.0,7.0,0.0,0.0,0.0,10.0,3.0,121,93905,08,0.0,17.0
0801193388,"South Bent CCD, Bent County, Colorado",152.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,011,93388,08,0.0,0.0
0812591850,"Idalia-Joes CCD, Yuma County, Colorado",1003.0,779.0,0.0,3.0,0.0,0.0,3.0,2.0,216.0,125,91850,08,0.0,8.0
0807793857,"Whitewater-Kannah Creek CCD, Mesa County, Colorado",2923.0,2771.0,2.0,0.0,27.0,0.0,0.0,1.0,122.0,077,93857,08,27.0,1.0
0801490408,"Broomfield CCD, Broomfield County, Colorado",64283.0,49891.0,670.0,207.0,4140.0,0.0,214.0,1405.0,7756.0,014,90408,08,4140.0,1826.0
0810393040,"Rangely CCD, Rio Blanco County, Colorado",2625.0,2306.0,17.0,9.0,6.0,0.0,5.0,35.0,247.0,103,93040,08,6.0,49.0
0811591900,"Julesburg CCD, Sedgwick County, Colorado",2069.0,1667.0,30.0,12.0,36.0,0.0,0.0,67.0,257.0,115,91900,08,36.0,79.0
0809192793,"Ouray CCD, Ouray County, Colorado",4653.0,4303.0,0.0,15.0,24.0,4.0,0.0,44.0,263.0,091,92793,08,28.0,59.0
0810392451,"Meeker CCD, Rio Blanco County, Colorado",3932.0,3487.0,3.0,0.0,0.0,8.0,0.0,30.0,404.0,103,92451,08,8.0,30.0
0812391349,"Fort Lupton CCD, Weld County, Colorado",11941.0,6054.0,90.0,34.0,56.0,24.0,0.0,91.0,5592.0,123,91349,08,80.0,125.0
0812391881,"Johnstown-Milliken CCD, Weld County, Colorado",30595.0,25040.0,82.0,48.0,440.0,0.0,0.0,460.0,4525.0,123,91881,08,440.0,508.0
0812391634,"Greeley CCD, Weld County, Colorado",133876.0,74428.0,2236.0,577.0,1626.0,109.0,207.0,2185.0,52508.0,123,91634,08,1735.0,2969.0
0812390190,"Ault CCD, Weld County, Colorado",7263.0,5765.0,2.0,25.0,18.0,1.0,0.0,96.0,1356.0,123,90190,08,19.0,121.0
0812391216,"Erie-Frederick CCD, Weld County, Colorado",46648.0,35885.0,228.0,228.0,1302.0,101.0,100.0,1007.0,7797.0,123,91216,08,1403.0,1335.0
0812391653,"Grover CCD, Weld County, Colorado",616.0,548.0,7.0,0.0,0.0,0.0,0.0,8.0,53.0,123,91653,08,0.0,8.0
0812393059,"Raymer CCD, Weld County, Colorado",694.0,641.0,5.0,0.0,1.0,0.0,0.0,17.0,30.0,123,93059,08,1.0,17.0
0812391938,"Keenesburg-Hudson CCD, Weld County, Colorado",13701.0,9082.0,164.0,58.0,14.0,15.0,0.0,187.0,4181.0,123,91938,08,29.0,245.0
0812391957,"Kersey-Gill CCD, Weld County, Colorado",6836.0,5125.0,16.0,20.0,0.0,0.0,0.0,2.0,1673.0,123,91957,08,0.0,22.0
0812392166,"La Salle-Gilcrest CCD, Weld County, Colorado",5482.0,3482.0,0.0,14.0,53.0,0.0,0.0,100.0,1833.0,123,92166,08,53.0,114.0
0812392926,"Platteville CCD, Weld County, Colorado",4344.0,2776.0,0.0,10.0,0.0,0.0,0.0,106.0,1452.0,123,92926,08,0.0,116.0
0802192071,"La Jara CCD, Conejos County, Colorado",3680.0,1934.0,2.0,78.0,5.0,10.0,0.0,7.0,1644.0,021,92071,08,15.0,85.0
0812393895,"Windsor CCD, Weld County, Colorado",23733.0,20915.0,126.0,115.0,244.0,0.0,82.0,331.0,1920.0,123,93895,08,244.0,528.0
0802192375,"Manassa CCD, Conejos County, Colorado",2231.0,1199.0,8.0,38.0,0.0,0.0,0.0,10.0,976.0,021,92375,08,0.0,48.0
