geoid,name,median,male,female,county,county subdivision,state
2001768600,"Strong township, Chase County, Kansas",51.4,48.6,54.7,017,68600,20
2001770775,"Toledo township, Chase County, Kansas",37.6,37.3,37.8,017,70775,20
2001745125,"Matfield township, Chase County, Kansas",63.5,58.8,73.5,017,45125,20
2001711225,"Cedar township, Chase County, Kansas",44.5,44.8,19.6,017,11225,20
2007950475,"Newton city, Harvey County, Kansas",38.9,38.5,39.4,079,50475,20
2007950500,"Newton township, Harvey County, Kansas",43.8,39.8,47.0,079,50500,20
2007956250,"Pleasant township, Harvey County, Kansas",57.5,57.4,58.2,079,56250,20
2007963825,"Sedgwick township, Harvey County, Kansas",37.5,37.0,38.9,079,63825,20
2007929600,"Halstead city, Harvey County, Kansas",33.7,33.9,33.6,079,29600,20
2007937825,"Lake township, Harvey County, Kansas",48.3,48.7,44.2,079,37825,20
2007943925,"Macon township, Harvey County, Kansas",36.5,34.5,55.8,079,43925,20
2007921025,"Emma township, Harvey County, Kansas",39.8,34.4,45.9,079,21025,20
2007938150,"Lakin township, Harvey County, Kansas",56.5,69.3,29.1,079,38150,20
200791500,"Alta township, Harvey County, Kansas",64.2,64.8,60.6,079,1500,20
200799600,"Burrton township, Harvey County, Kansas",37.2,36.5,37.7,079,9600,20
2007917025,"Darlington township, Harvey County, Kansas",61.1,62.1,58.8,079,17025,20
2007925300,"Garden township, Harvey County, Kansas",29.4,29.6,27.7,079,25300,20
2007929625,"Halstead township, Harvey County, Kansas",49.0,44.8,58.3,079,29625,20
2007931875,"Highland township, Harvey County, Kansas",40.7,40.4,45.1,079,31875,20
2007975225,"Walton township, Harvey County, Kansas",40.0,34.3,40.5,079,75225,20
2011546900,"Milton township, Marion County, Kansas",38.8,39.5,38.5,115,46900,20
2011523600,"Florence city, Marion County, Kansas",48.9,48.3,49.2,115,23600,20
2011539250,"Lehigh township, Marion County, Kansas",38.1,38.1,38.0,115,39250,20
2011542850,"Lost Springs township, Marion County, Kansas",51.9,53.3,51.9,115,42850,20
2011560000,"Risley township, Marion County, Kansas",59.9,56.8,63.2,115,60000,20
2011511075,"Catlin township, Marion County, Kansas",57.2,45.7,58.8,115,11075,20
2004928550,"Greenfield township, Elk County, Kansas",66.8,65.5,68.1,049,28550,20
2004951950,"Oak Valley township, Elk County, Kansas",62.4,63.3,59.8,049,51950,20
2004920325,"Elk Falls township, Elk County, Kansas",52.8,53.8,51.5,049,20325,20
2004954925,"Paw Paw township, Elk County, Kansas",36.1,37.4,28.6,049,54925,20
2004933275,"Howard township, Elk County, Kansas",55.2,48.1,58.6,049,33275,20
2004942675,"Longton township, Elk County, Kansas",46.5,33.4,50.0,049,42675,20
2004940025,"Liberty township, Elk County, Kansas",53.7,57.8,52.3,049,40025,20
2006325000,"Gaeland township, Gove County, Kansas",54.7,54.6,-666666666.0,063,25000,20
2004972500,"Union Center township, Elk County, Kansas",50.0,50.4,19.9,049,72500,20
2004954075,"Painterhood township, Elk County, Kansas",56.4,56.3,-666666666.0,049,54075,20
200633775,"Baker township, Gove County, Kansas",45.9,42.6,48.3,063,3775,20
2006327225,"Grainfield township, Gove County, Kansas",53.1,53.1,53.2,063,27225,20
2006335425,"Jerome township, Gove County, Kansas",45.0,32.9,61.5,063,35425,20
2006338750,"Larrabee township, Gove County, Kansas",79.1,62.8,79.5,063,38750,20
2004737075,"Kinsley city, Edwards County, Kansas",46.5,46.0,46.9,047,37075,20
2004741875,"Logan township, Edwards County, Kansas",-666666666.0,-666666666.0,-666666666.0,047,41875,20
2004724350,"Franklin township, Edwards County, Kansas",58.9,58.8,59.0,047,24350,20
2004737100,"Kinsley township, Edwards County, Kansas",58.7,24.9,60.8,047,37100,20
200475850,"Belpre township, Edwards County, Kansas",37.4,41.3,34.7,047,5850,20
