geoid,name,total_population_16over,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,county,county subdivision,state
4601559540,"Smith township, Brule County, South Dakota",18.0,18.0,18.0,18.0,0.0,0.0,0.0,015,59540,46
4601568220,"Waldro township, Brule County, South Dakota",52.0,41.0,41.0,41.0,0.0,0.0,11.0,015,68220,46
4601571700,"Wilbur township, Brule County, South Dakota",16.0,9.0,9.0,9.0,0.0,0.0,7.0,015,71700,46
4601539700,"Lyon township, Brule County, South Dakota",26.0,23.0,23.0,23.0,0.0,0.0,3.0,015,39700,46
4601553660,"Red Lake township, Brule County, South Dakota",27.0,27.0,27.0,27.0,0.0,0.0,0.0,015,53660,46
4601554540,"Richland township, Brule County, South Dakota",55.0,42.0,42.0,41.0,1.0,0.0,13.0,015,54540,46
460157780,"Brule township, Brule County, South Dakota",84.0,62.0,62.0,62.0,0.0,0.0,22.0,015,7780,46
4601563780,"Torrey Lake township, Brule County, South Dakota",265.0,78.0,78.0,78.0,0.0,0.0,187.0,015,63780,46
4601564940,"Union township, Brule County, South Dakota",70.0,70.0,70.0,70.0,0.0,0.0,0.0,015,64940,46
4601525300,"Grandview UT, Brule County, South Dakota",34.0,34.0,34.0,34.0,0.0,0.0,0.0,015,25300,46
4601570500,"West Point township, Brule County, South Dakota",64.0,30.0,30.0,30.0,0.0,0.0,34.0,015,70500,46
4601528700,"Highland township, Brule County, South Dakota",85.0,55.0,55.0,55.0,0.0,0.0,30.0,015,28700,46
4601571900,"Willow Lake township, Brule County, South Dakota",55.0,39.0,39.0,39.0,0.0,0.0,16.0,015,71900,46
4601135580,"Lake Sinai township, Brookings County, South Dakota",144.0,100.0,100.0,100.0,0.0,0.0,44.0,011,35580,46
460111260,"Alton township, Brookings County, South Dakota",298.0,150.0,150.0,150.0,0.0,0.0,148.0,011,1260,46
4604527060,"Harmony township, Edmunds County, South Dakota",109.0,70.0,70.0,62.0,8.0,0.0,39.0,045,27060,46
4604531900,"Ipswich township, Edmunds County, South Dakota",23.0,15.0,15.0,15.0,0.0,0.0,8.0,045,31900,46
4604556300,"Rosette township, Edmunds County, South Dakota",20.0,12.0,12.0,12.0,0.0,0.0,8.0,045,56300,46
4604514060,"Cortlandt township, Edmunds County, South Dakota",654.0,441.0,441.0,441.0,0.0,0.0,213.0,045,14060,46
4604530180,"Hosmer township, Edmunds County, South Dakota",9.0,5.0,5.0,5.0,0.0,0.0,4.0,045,30180,46
4604512620,"Clear Lake township, Edmunds County, South Dakota",17.0,8.0,8.0,8.0,0.0,0.0,9.0,045,12620,46
4604543200,"Modena township, Edmunds County, South Dakota",30.0,16.0,16.0,16.0,0.0,0.0,14.0,045,43200,46
4604551500,"Powell township, Edmunds County, South Dakota",23.0,19.0,19.0,19.0,0.0,0.0,4.0,045,51500,46
4604554660,"Richland township, Edmunds County, South Dakota",34.0,30.0,30.0,30.0,0.0,0.0,4.0,045,54660,46
460454340,"Belle township, Edmunds County, South Dakota",18.0,18.0,18.0,18.0,0.0,0.0,0.0,045,4340,46
4604536900,"Liberty township, Edmunds County, South Dakota",8.0,0.0,0.0,0.0,0.0,0.0,8.0,045,36900,46
46045340,"Adrian township, Edmunds County, South Dakota",39.0,39.0,39.0,28.0,11.0,0.0,0.0,045,340,46
460456580,"Bowdle township, Edmunds County, South Dakota",68.0,45.0,45.0,45.0,0.0,0.0,23.0,045,6580,46
4602151260,"Pollock town, Campbell County, South Dakota",175.0,100.0,100.0,99.0,1.0,0.0,75.0,021,51260,46
460212340,"Artas town, Campbell County, South Dakota",6.0,2.0,2.0,2.0,0.0,0.0,4.0,021,2340,46
4602159760,"South Campbell UT, Campbell County, South Dakota",279.0,221.0,221.0,221.0,0.0,0.0,58.0,021,59760,46
4602128340,"Herreid city, Campbell County, South Dakota",356.0,239.0,239.0,239.0,0.0,0.0,117.0,021,28340,46
4602145520,"North Campbell UT, Campbell County, South Dakota",283.0,174.0,174.0,171.0,3.0,0.0,109.0,021,45520,46
4602144020,"Mound City town, Campbell County, South Dakota",69.0,29.0,29.0,25.0,4.0,0.0,40.0,021,44020,46
4607311580,"Chery township, Jerauld County, South Dakota",56.0,42.0,42.0,42.0,0.0,0.0,14.0,073,11580,46
460731580,"Anina township, Jerauld County, South Dakota",14.0,0.0,0.0,0.0,0.0,0.0,14.0,073,1580,46
460735940,"Blaine township, Jerauld County, South Dakota",47.0,20.0,20.0,20.0,0.0,0.0,27.0,073,5940,46
460731020,"Alpena town, Jerauld County, South Dakota",254.0,181.0,181.0,181.0,0.0,0.0,73.0,073,1020,46
4607314820,"Crow township, Jerauld County, South Dakota",50.0,43.0,43.0,43.0,0.0,0.0,7.0,073,14820,46
4607314940,"Crow Lake township, Jerauld County, South Dakota",30.0,20.0,20.0,20.0,0.0,0.0,10.0,073,14940,46
4607370260,"Wessington Springs township, Jerauld County, South Dakota",39.0,30.0,30.0,30.0,0.0,0.0,9.0,073,70260,46
4607315260,"Dale UT, Jerauld County, South Dakota",30.0,30.0,30.0,30.0,0.0,0.0,0.0,073,15260,46
4607367460,"Viola township, Jerauld County, South Dakota",65.0,52.0,52.0,52.0,0.0,0.0,13.0,073,67460,46
4601141780,"Medary township, Brookings County, South Dakota",1173.0,757.0,757.0,757.0,0.0,0.0,416.0,011,41780,46
