B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,name,county,county subdivision,state
27609.0,21428.0,2550.0,518.0,2811.0,302.0,"Groton town, New London County, Connecticut",011,34250,09
2372.0,2162.0,76.0,21.0,113.0,0.0,"Voluntown town, New London County, Connecticut",011,78600,09
4035.0,3689.0,316.0,29.0,1.0,0.0,"Lisbon town, New London County, Connecticut",011,43230,09
10136.0,9145.0,553.0,93.0,331.0,14.0,"Griswold town, New London County, Connecticut",011,33900,09
14209.0,12811.0,867.0,459.0,39.0,33.0,"Montville town, New London County, Connecticut",011,48900,09
2326.0,2158.0,62.0,35.0,66.0,5.0,"Lyme town, New London County, Connecticut",011,44210,09
7078.0,6435.0,262.0,250.0,131.0,0.0,"Old Lyme town, New London County, Connecticut",011,57040,09
6262.0,5783.0,249.0,168.0,62.0,0.0,"Westbrook town, Middlesex County, Connecticut",007,81680,09
0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Middlesex County, Connecticut",007,00000,09
8274.0,7616.0,243.0,325.0,81.0,9.0,"East Haddam town, Middlesex County, Connecticut",007,22280,09
8646.0,8170.0,198.0,173.0,105.0,0.0,"Old Saybrook town, Middlesex County, Connecticut",007,57320,09
6953.0,6508.0,168.0,230.0,47.0,0.0,"Durham town, Middlesex County, Connecticut",007,20810,09
4076.0,3884.0,101.0,76.0,9.0,6.0,"Deep River town, Middlesex County, Connecticut",007,19130,09
11598.0,10513.0,471.0,230.0,358.0,26.0,"Clinton town, Middlesex County, Connecticut",007,15350,09
8688.0,8325.0,195.0,109.0,59.0,0.0,"Portland town, Middlesex County, Connecticut",007,61800,09
7664.0,7307.0,245.0,56.0,56.0,0.0,"Haddam town, Middlesex County, Connecticut",007,35230,09
6113.0,5676.0,286.0,121.0,15.0,15.0,"Killingworth town, Middlesex County, Connecticut",007,40710,09
32148.0,26802.0,2538.0,1755.0,945.0,108.0,"Middletown town, Middlesex County, Connecticut",007,47360,09
4205.0,3818.0,190.0,151.0,28.0,18.0,"Middlefield town, Middlesex County, Connecticut",007,47080,09
3993.0,3565.0,314.0,98.0,16.0,0.0,"Chester town, Middlesex County, Connecticut",007,14300,09
5872.0,5371.0,208.0,6.0,287.0,0.0,"Essex town, Middlesex County, Connecticut",007,26270,09
11521.0,10533.0,366.0,599.0,23.0,0.0,"East Hampton town, Middlesex County, Connecticut",007,22490,09
11192.0,10085.0,274.0,586.0,221.0,26.0,"Cromwell town, Middlesex County, Connecticut",007,18080,09
2945.0,2734.0,55.0,47.0,109.0,0.0,"Andover town, Tolland County, Connecticut",013,01080,09
11579.0,10436.0,605.0,354.0,184.0,0.0,"Coventry town, Tolland County, Connecticut",013,17800,09
4423.0,4249.0,31.0,125.0,8.0,10.0,"Bolton town, Tolland County, Connecticut",013,06260,09
13413.0,12290.0,569.0,414.0,140.0,0.0,"Tolland town, Tolland County, Connecticut",013,76290,09
9175.0,8354.0,209.0,408.0,195.0,9.0,"Somers town, Tolland County, Connecticut",013,69220,09
22412.0,19383.0,1508.0,1272.0,209.0,40.0,"Vernon town, Tolland County, Connecticut",013,78250,09
873.0,834.0,18.0,15.0,6.0,0.0,"Union town, Tolland County, Connecticut",013,77830,09
5121.0,4747.0,224.0,62.0,88.0,0.0,"Columbia town, Tolland County, Connecticut",013,16400,09
13897.0,12594.0,731.0,234.0,313.0,25.0,"Ellington town, Tolland County, Connecticut",013,25360,09
20012.0,14468.0,1364.0,3005.0,1149.0,26.0,"Mansfield town, Tolland County, Connecticut",013,44910,09
9019.0,8547.0,151.0,275.0,40.0,6.0,"Hebron town, Tolland County, Connecticut",013,37910,09
10865.0,9653.0,682.0,369.0,150.0,11.0,"Stafford town, Tolland County, Connecticut",013,72090,09
5086.0,4206.0,540.0,228.0,112.0,0.0,"Willington town, Tolland County, Connecticut",013,85950,09
46107.0,41357.0,2154.0,274.0,1798.0,524.0,"Greenwich town, Fairfield County, Connecticut",001,33620,09
17453.0,16658.0,574.0,153.0,68.0,0.0,"Monroe town, Fairfield County, Connecticut",001,48620,09
2420.0,2193.0,27.0,23.0,170.0,7.0,"Kent town, Litchfield County, Connecticut",005,40290,09
