B19013I_001E,name,county,county subdivision,state
88848.0,"Algonkian district, Loudoun County, Virginia",107,90022,51
103977.0,"Ashburn district, Loudoun County, Virginia",107,90076,51
-666666666.0,"District 1, West Luray; Page County; Virginia",139,91262,51
-666666666.0,"District 2, East Luray; Page County; Virginia",139,91412,51
-666666666.0,"District 3, Marksville; Page County; Virginia",139,91562,51
-666666666.0,"District 4, Newport; Page County; Virginia",139,91712,51
-666666666.0,"District 5, Shenandoah; Page County; Virginia",139,91862,51
96335.0,"Garrisonville district, Stafford County, Virginia",179,93683,51
58641.0,"Red Bud district, Frederick County, Virginia",069,95250,51
-666666666.0,"District 1, Greensville County, Virginia",081,91234,51
-666666666.0,"District 2, Greensville County, Virginia",081,91384,51
-666666666.0,"District 3, Greensville County, Virginia",081,91534,51
-666666666.0,"District 4, Greensville County, Virginia",081,91684,51
-666666666.0,"District A-01, Montgomery County, Virginia",121,92713,51
79638.0,"District B-01, Montgomery County, Virginia",121,92813,51
-666666666.0,"District C-01, Montgomery County, Virginia",121,92913,51
-666666666.0,"District 7, Buckingham County, Virginia",029,92106,51
-666666666.0,"District D-01, Montgomery County, Virginia",121,93013,51
-666666666.0,"District E-01, Montgomery County, Virginia",121,93113,51
-666666666.0,"District 4, Buckingham County, Virginia",029,91665,51
-666666666.0,"District 5, Buckingham County, Virginia",029,91810,51
-666666666.0,"District 6, Buckingham County, Virginia",029,91956,51
90982.0,"District 3, Charles City County, Virginia",036,91515,51
-666666666.0,"Piney Mountain district, Appomattox County, Virginia",011,95083,51
-666666666.0,"Wreck Island district, Appomattox County, Virginia",011,96459,51
-666666666.0,"District 1, Bland County, Virginia",021,91210,51
-666666666.0,"District 2, Bland County, Virginia",021,91360,51
-666666666.0,"Central district, Nelson County, Virginia",125,90732,51
-666666666.0,"District 3, Bland County, Virginia",021,91510,51
-666666666.0,"District 4, Bland County, Virginia",021,91660,51
-666666666.0,"North district, Nelson County, Virginia",125,94883,51
76729.0,"East district, Nelson County, Virginia",125,93427,51
-666666666.0,"West district, Nelson County, Virginia",125,96283,51
-666666666.0,"South district, Nelson County, Virginia",125,95755,51
18173.0,"District F-01, Montgomery County, Virginia",121,93213,51
83382.0,"District 1, Bedford County, Virginia",019,91209,51
-666666666.0,"District 2, Bedford County, Virginia",019,91359,51
-666666666.0,"District 3, Bedford County, Virginia",019,91509,51
-666666666.0,"District 4, Bedford County, Virginia",019,91659,51
79018.0,"District 5, Bedford County, Virginia",019,91805,51
-666666666.0,"District 6, Bedford County, Virginia",019,91950,51
88403.0,"District G-01, Montgomery County, Virginia",121,93313,51
63017.0,"Altavista district, Campbell County, Virginia",031,90032,51
-666666666.0,"Boiling Springs district, Alleghany County, Virginia",005,90424,51
158375.0,"Clifton Forge East district, Alleghany County, Virginia",005,90877,51
-666666666.0,"Clifton Forge West district, Alleghany County, Virginia",005,90878,51
-666666666.0,"Sharon district, Alleghany County, Virginia",005,95635,51
-666666666.0,"District 1, Lancaster County, Virginia",103,91241,51
-666666666.0,"District 2, Lancaster County, Virginia",103,91391,51
-666666666.0,"District 3, Lancaster County, Virginia",103,91541,51
-666666666.0,"District 4, Lancaster County, Virginia",103,91691,51
-666666666.0,"District 5, Lancaster County, Virginia",103,91841,51
96364.0,"Boykins and Branchville district, Southampton County, Virginia",175,90458,51
-666666666.0,"District 1, Charles City County, Virginia",036,91215,51
71250.0,"District 2, Charles City County, Virginia",036,91365,51
-666666666.0,"Appomattox River district, Appomattox County, Virginia",011,90054,51
-666666666.0,"Falling River district, Appomattox County, Virginia",011,93524,51
-666666666.0,"District 3, Buckingham County, Virginia",029,91512,51
-666666666.0,"District 1, Buckingham County, Virginia",029,91212,51
-666666666.0,"District 2, Buckingham County, Virginia",029,91362,51
-666666666.0,"Tappahannock district, Essex County, Virginia",057,96027,51
-666666666.0,"District 1, Lee County, Virginia",105,91247,51
-666666666.0,"District 2, Lee County, Virginia",105,91397,51
-666666666.0,"District 3, Lee County, Virginia",105,91547,51
-666666666.0,"District 4, Lee County, Virginia",105,91697,51
-666666666.0,"District 5, Lee County, Virginia",105,91847,51
-666666666.0,"District 7, Bedford County, Virginia",019,92102,51
-666666666.0,"District 2, Wise County, Virginia",195,91438,51
-666666666.0,"District 4, Wise County, Virginia",195,91738,51
-666666666.0,"District 1, Wise County, Virginia",195,91288,51
-666666666.0,"District 3, Wise County, Virginia",195,91588,51
-666666666.0,"Bristol city, Bristol city, Virginia",520,90484,51
28333.0,"Covington city, Covington city, Virginia",580,91020,51
40222.0,"Portsmouth city, Portsmouth city, Virginia",740,95123,51
30197.0,"Williamsburg city, Williamsburg city, Virginia",830,96395,51
57579.0,"Virginia Beach city, Virginia Beach city, Virginia",810,96187,51
-666666666.0,"Falling Spring district, Alleghany County, Virginia",005,93527,51
-666666666.0,"Covington district, Alleghany County, Virginia",005,91016,51
-666666666.0,"Jackson River district, Alleghany County, Virginia",005,94015,51
-666666666.0,"Piper Gap district, Carroll County, Virginia",035,95087,51
-666666666.0,"Pine Creek district, Carroll County, Virginia",035,95071,51
81813.0,"Sulphur Springs district, Carroll County, Virginia",035,96007,51
-666666666.0,"Fancy Gap district, Carroll County, Virginia",035,93551,51
-666666666.0,"Laurel Fork district, Carroll County, Virginia",035,94175,51
52767.0,"Galax city, Galax city, Virginia",640,93675,51
24821.0,"Harrison district, Washington County, Virginia",191,93855,51
-666666666.0,"Jefferson district, Washington County, Virginia",191,94087,51
24643.0,"Monroe district, Washington County, Virginia",191,94727,51
-666666666.0,"Madison district, Washington County, Virginia",191,94463,51
-666666666.0,"Wilson district, Washington County, Virginia",191,96415,51
-666666666.0,"Taylor district, Washington County, Virginia",191,96047,51
-666666666.0,"Tyler district, Washington County, Virginia",191,96143,51
-666666666.0,"Montross district, Westmoreland County, Virginia",193,94751,51
-666666666.0,"Cople district, Westmoreland County, Virginia",193,90976,51
-666666666.0,"Washington district, Westmoreland County, Virginia",193,96255,51
-666666666.0,"District 4, Northumberland County, Virginia",133,91709,51
-666666666.0,"District 3, Northumberland County, Virginia",133,91559,51
-666666666.0,"District 1, Northumberland County, Virginia",133,91259,51
-666666666.0,"District 2, Northumberland County, Virginia",133,91409,51
-666666666.0,"District 5, Northumberland County, Virginia",133,91859,51
