B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,county,county subdivision,state
1922.0,90.0,148.0,169.0,187.0,138.0,208.0,118.0,99.0,38.0,221.0,217.0,152.0,50.0,67.0,20.0,0.0,"District 1, Rankin County, Mississippi",121,90549,28
2351.0,272.0,125.0,145.0,192.0,62.0,244.0,117.0,69.0,153.0,361.0,133.0,213.0,172.0,14.0,72.0,7.0,"District 5, Rankin County, Mississippi",121,93501,28
632.0,138.0,58.0,22.0,61.0,52.0,32.0,120.0,38.0,15.0,63.0,10.0,19.0,0.0,0.0,4.0,0.0,"District 2, Copiah County, Mississippi",029,90873,28
1016.0,195.0,123.0,95.0,104.0,51.0,68.0,65.0,73.0,47.0,109.0,42.0,36.0,8.0,0.0,0.0,0.0,"District 3, Copiah County, Mississippi",029,91611,28
1187.0,167.0,180.0,94.0,143.0,19.0,94.0,88.0,79.0,45.0,66.0,112.0,38.0,19.0,18.0,0.0,25.0,"District 1, Copiah County, Mississippi",029,90135,28
2313.0,207.0,82.0,149.0,148.0,74.0,151.0,108.0,119.0,202.0,140.0,219.0,298.0,281.0,16.0,0.0,119.0,"District 3, Rankin County, Mississippi",121,92025,28
466.0,82.0,22.0,20.0,32.0,42.0,34.0,21.0,15.0,50.0,32.0,17.0,30.0,19.0,0.0,50.0,0.0,"District 4, Tate County, Mississippi",137,92835,28
237.0,59.0,0.0,56.0,0.0,0.0,39.0,0.0,18.0,0.0,0.0,0.0,32.0,33.0,0.0,0.0,0.0,"District 1, Tate County, Mississippi",137,90621,28
902.0,165.0,65.0,81.0,154.0,94.0,63.0,8.0,67.0,7.0,32.0,34.0,114.0,10.0,8.0,0.0,0.0,"District 4, Copiah County, Mississippi",029,92349,28
829.0,175.0,74.0,69.0,0.0,34.0,61.0,46.0,0.0,27.0,50.0,174.0,111.0,0.0,8.0,0.0,0.0,"District 5, Copiah County, Mississippi",029,93087,28
12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 2, George County, Mississippi",039,90918,28
185.0,0.0,0.0,0.0,0.0,44.0,0.0,14.0,0.0,0.0,13.0,18.0,96.0,0.0,0.0,0.0,0.0,"District 3, George County, Mississippi",039,91656,28
9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, George County, Mississippi",039,90180,28
204.0,67.0,23.0,27.0,25.0,5.0,4.0,15.0,0.0,21.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,"District 5, George County, Mississippi",039,93132,28
52.0,23.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,"District 4, George County, Mississippi",039,92394,28
475.0,85.0,43.0,67.0,13.0,8.0,43.0,59.0,21.0,17.0,12.0,17.0,36.0,0.0,54.0,0.0,0.0,"District 5, Grenada County, Mississippi",043,93150,28
642.0,121.0,31.0,69.0,78.0,22.0,40.0,39.0,28.0,32.0,56.0,83.0,12.0,16.0,15.0,0.0,0.0,"District 2, Grenada County, Mississippi",043,90936,28
823.0,138.0,37.0,145.0,76.0,40.0,107.0,64.0,53.0,6.0,105.0,0.0,42.0,10.0,0.0,0.0,0.0,"District 4, Grenada County, Mississippi",043,92412,28
658.0,182.0,147.0,71.0,63.0,22.0,0.0,35.0,19.0,8.0,34.0,36.0,26.0,0.0,0.0,0.0,15.0,"District 3, Grenada County, Mississippi",043,91674,28
654.0,105.0,210.0,56.0,79.0,8.0,42.0,14.0,0.0,0.0,11.0,37.0,37.0,0.0,0.0,55.0,0.0,"District 1, Grenada County, Mississippi",043,90198,28
12546.0,1126.0,484.0,336.0,686.0,672.0,826.0,974.0,658.0,554.0,1192.0,1242.0,1802.0,1014.0,426.0,483.0,71.0,"District 4, Hinds County, Mississippi",049,92439,28
9958.0,1691.0,944.0,818.0,858.0,655.0,501.0,640.0,601.0,400.0,488.0,722.0,883.0,460.0,62.0,201.0,34.0,"District 5, Hinds County, Mississippi",049,93177,28
12800.0,1377.0,924.0,616.0,1033.0,825.0,936.0,857.0,618.0,658.0,1115.0,1297.0,1223.0,623.0,428.0,81.0,189.0,"District 1, Hinds County, Mississippi",049,90225,28
13793.0,2100.0,1444.0,1176.0,1350.0,1270.0,935.0,832.0,649.0,328.0,976.0,957.0,1049.0,373.0,224.0,77.0,53.0,"District 3, Hinds County, Mississippi",049,91701,28
12102.0,1803.0,1552.0,1310.0,915.0,790.0,597.0,555.0,630.0,689.0,881.0,869.0,790.0,358.0,170.0,141.0,52.0,"District 2, Hinds County, Mississippi",049,90963,28
1446.0,313.0,283.0,195.0,60.0,73.0,136.0,119.0,44.0,12.0,45.0,62.0,52.0,48.0,0.0,4.0,0.0,"District 3, Jefferson County, Mississippi",063,91764,28
243.0,23.0,27.0,50.0,40.0,0.0,0.0,0.0,11.0,6.0,0.0,46.0,40.0,0.0,0.0,0.0,0.0,"District 2, Jefferson County, Mississippi",063,91026,28
121.0,59.0,0.0,10.0,0.0,8.0,10.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,"District 4, Jefferson County, Mississippi",063,92502,28
167.0,44.0,25.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,"District 5, Jefferson County, Mississippi",063,93240,28
97.0,12.0,0.0,32.0,25.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Jefferson County, Mississippi",063,90288,28
1023.0,103.0,190.0,128.0,98.0,90.0,146.0,73.0,33.0,26.0,33.0,33.0,41.0,12.0,17.0,0.0,0.0,"District 1, Newton County, Mississippi",101,90459,28
509.0,38.0,49.0,67.0,24.0,23.0,45.0,15.0,22.0,76.0,91.0,43.0,16.0,0.0,0.0,0.0,0.0,"District 4, Newton County, Mississippi",101,92673,28
310.0,28.0,20.0,23.0,80.0,51.0,8.0,10.0,15.0,13.0,5.0,15.0,35.0,0.0,7.0,0.0,0.0,"District 5, Newton County, Mississippi",101,93411,28
174.0,58.0,0.0,0.0,32.0,24.0,22.0,0.0,3.0,0.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,"District 2, Newton County, Mississippi",101,91197,28
222.0,12.0,8.0,25.0,35.0,5.0,17.0,0.0,18.0,13.0,0.0,0.0,49.0,10.0,30.0,0.0,0.0,"District 3, Newton County, Mississippi",101,91935,28
355.0,37.0,103.0,41.0,0.0,14.0,21.0,6.0,0.0,27.0,27.0,9.0,34.0,31.0,0.0,5.0,0.0,"District 2, Union County, Mississippi",145,91395,28
314.0,43.0,10.0,28.0,42.0,62.0,50.0,8.0,15.0,1.0,39.0,10.0,6.0,0.0,0.0,0.0,0.0,"District 3, Union County, Mississippi",145,92133,28
225.0,36.0,42.0,0.0,4.0,32.0,7.0,35.0,0.0,22.0,0.0,37.0,5.0,0.0,5.0,0.0,0.0,"District 5, Union County, Mississippi",145,93609,28
337.0,82.0,9.0,11.0,66.0,60.0,0.0,22.0,0.0,9.0,15.0,6.0,50.0,0.0,0.0,7.0,0.0,"District 4, Union County, Mississippi",145,92871,28
162.0,6.0,48.0,14.0,0.0,11.0,19.0,10.0,19.0,0.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,"District 1, Union County, Mississippi",145,90657,28
504.0,95.0,82.0,48.0,12.0,80.0,59.0,13.0,6.0,39.0,0.0,0.0,3.0,67.0,0.0,0.0,0.0,"District 3, Prentiss County, Mississippi",117,92007,28
155.0,0.0,27.0,69.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,25.0,0.0,0.0,0.0,"District 2, Prentiss County, Mississippi",117,91269,28
89.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 4, Prentiss County, Mississippi",117,92745,28
81.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,"District 1, Prentiss County, Mississippi",117,90531,28
347.0,81.0,46.0,0.0,89.0,8.0,24.0,9.0,59.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Prentiss County, Mississippi",117,93483,28
522.0,126.0,30.0,56.0,45.0,88.0,67.0,47.0,0.0,20.0,16.0,8.0,0.0,0.0,19.0,0.0,0.0,"District 3, Sharkey County, Mississippi",125,92043,28
