B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
755.0,618.0,137.0,"Warren town, Washington County, Vermont",023,76525,50
635.0,536.0,99.0,"Marshfield town, Washington County, Vermont",023,43600,50
3389.0,1909.0,1480.0,"Montpelier city, Washington County, Vermont",023,46000,50
2055.0,1461.0,594.0,"Northfield town, Washington County, Vermont",023,50275,50
529.0,446.0,83.0,"Fayston town, Washington County, Vermont",023,25825,50
510.0,450.0,60.0,"Cabot town, Washington County, Vermont",023,11125,50
2972.0,2492.0,480.0,"Barre town, Washington County, Vermont",023,03250,50
3800.0,1932.0,1868.0,"Barre city, Washington County, Vermont",023,03175,50
677.0,520.0,157.0,"Alburgh town, Grand Isle County, Vermont",013,00860,50
1057.0,691.0,366.0,"Enosburgh town, Franklin County, Vermont",011,24050,50
1126.0,899.0,227.0,"Ferrisburgh town, Addison County, Vermont",001,26300,50
