B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Goodwater-Kellyton CCD, Coosa County, Alabama",037,91350,01
0.0,0.0,0.0,"Weogufka-Marble Valley CCD, Coosa County, Alabama",037,93429,01
1.0,0.0,1.0,"Rockford CCD, Coosa County, Alabama",037,92763,01
172.0,0.0,172.0,"Fort Rucker CCD, Dale County, Alabama",045,91215,01
195.0,129.0,66.0,"Ozark CCD, Dale County, Alabama",045,92466,01
7.0,0.0,7.0,"Sawyerville CCD, Hale County, Alabama",065,92853,01
308.0,73.0,235.0,"Daleville CCD, Dale County, Alabama",045,90828,01
23.0,8.0,15.0,"Echo CCD, Dale County, Alabama",045,90936,01
88.0,22.0,66.0,"Newton-Midland City CCD, Dale County, Alabama",045,92376,01
7.0,7.0,0.0,"Banks-Josie CCD, Pike County, Alabama",109,90198,01
0.0,0.0,0.0,"Greensboro CCD, Hale County, Alabama",065,91413,01
58.0,58.0,0.0,"Moundville CCD, Hale County, Alabama",065,92259,01
0.0,0.0,0.0,"Stewart-Akron CCD, Hale County, Alabama",065,93015,01
89.0,41.0,48.0,"Mountainboro CCD, Etowah County, Alabama",055,92268,01
22.0,22.0,0.0,"Turkeytown CCD, Etowah County, Alabama",055,93213,01
16.0,16.0,0.0,"Wills Valley CCD, Etowah County, Alabama",055,93465,01
480.0,305.0,175.0,"Gadsden CCD, Etowah County, Alabama",055,91278,01
22.0,16.0,6.0,"Hokes Bluff CCD, Etowah County, Alabama",055,91638,01
9.0,9.0,0.0,"Lookout Mountain CCD, Etowah County, Alabama",055,91980,01
2.0,0.0,2.0,"Altoona CCD, Etowah County, Alabama",055,90081,01
194.0,151.0,43.0,"Rainsville-Sylvania CCD, DeKalb County, Alabama",049,92655,01
0.0,0.0,0.0,"Ider CCD, DeKalb County, Alabama",049,91692,01
83.0,83.0,0.0,"Valley Head-Mentone CCD, DeKalb County, Alabama",049,93276,01
197.0,99.0,98.0,"Geraldine CCD, DeKalb County, Alabama",049,91323,01
706.0,492.0,214.0,"Crossville CCD, DeKalb County, Alabama",049,90792,01
638.0,336.0,302.0,"Fort Payne CCD, DeKalb County, Alabama",049,91206,01
0.0,0.0,0.0,"Fyffe CCD, DeKalb County, Alabama",049,91269,01
363.0,173.0,190.0,"Collinsville CCD, DeKalb County, Alabama",049,90693,01
57.0,47.0,10.0,"Henagar CCD, DeKalb County, Alabama",049,91611,01
19.0,19.0,0.0,"Flomaton CCD, Escambia County, Alabama",053,91125,01
50.0,13.0,37.0,"Atmore CCD, Escambia County, Alabama",053,90153,01
21.0,15.0,6.0,"Brewton CCD, Escambia County, Alabama",053,90378,01
56.0,0.0,56.0,"East Escambia CCD, Escambia County, Alabama",053,90927,01
27.0,0.0,27.0,"McCullough-Huxford CCD, Escambia County, Alabama",053,92034,01
15.0,15.0,0.0,"Millport CCD, Lamar County, Alabama",075,92151,01
0.0,0.0,0.0,"Sulligent CCD, Lamar County, Alabama",075,93033,01
20.0,12.0,8.0,"Vernon CCD, Lamar County, Alabama",075,93294,01
4.0,2.0,2.0,"Wedowee CCD, Randolph County, Alabama",111,93411,01
