B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
40.0,40.0,0.0,0.0,0.0,0.0,"West Yellowstone CCD, Gallatin County, Montana",031,93780,30
897.0,873.0,0.0,3.0,21.0,0.0,"Belgrade CCD, Gallatin County, Montana",031,90189,30
35.0,0.0,0.0,0.0,35.0,0.0,"Martinsdale-Ringling CCD, Meagher County, Montana",059,92247,30
47.0,4.0,43.0,0.0,0.0,0.0,"White Sulphur Springs CCD, Meagher County, Montana",059,93843,30
9.0,0.0,0.0,0.0,9.0,0.0,"Roberts CCD, Carbon County, Montana",009,92793,30
58.0,58.0,0.0,0.0,0.0,0.0,"Joliet CCD, Carbon County, Montana",009,91827,30
102.0,102.0,0.0,0.0,0.0,0.0,"Red Lodge CCD, Carbon County, Montana",009,92772,30
78.0,75.0,0.0,0.0,0.0,3.0,"Fromberg-Bridger CCD, Carbon County, Montana",009,91323,30
30.0,30.0,0.0,0.0,0.0,0.0,"Big Hole Basin CCD, Beaverhead County, Montana",001,90273,30
0.0,0.0,0.0,0.0,0.0,0.0,"Clark Canyon-Horse Prairie CCD, Beaverhead County, Montana",001,90651,30
341.0,288.0,32.0,3.0,18.0,0.0,"Dillon CCD, Beaverhead County, Montana",001,90924,30
15.0,15.0,0.0,0.0,0.0,0.0,"Lima-Centennial Valley CCD, Beaverhead County, Montana",001,92079,30
38.0,38.0,0.0,0.0,0.0,0.0,"Kalispell Southwest CCD, Flathead County, Montana",029,91932,30
176.0,101.0,14.0,0.0,61.0,0.0,"Columbia Falls CCD, Flathead County, Montana",029,90672,30
230.0,192.0,7.0,7.0,0.0,24.0,"Creston-Bigfork CCD, Flathead County, Montana",029,90735,30
39.0,28.0,11.0,0.0,0.0,0.0,"Kalispell Northwest CCD, Flathead County, Montana",029,91911,30
0.0,0.0,0.0,0.0,0.0,0.0,"Glacier National Park CCD, Flathead County, Montana",029,91449,30
61.0,56.0,0.0,5.0,0.0,0.0,"Bad Rock-Columbia Heights CCD, Flathead County, Montana",029,90147,30
1670.0,1348.0,30.0,0.0,289.0,3.0,"Kalispell CCD, Flathead County, Montana",029,91890,30
204.0,127.0,0.0,0.0,77.0,0.0,"Whitefish CCD, Flathead County, Montana",029,93801,30
15.0,6.0,9.0,0.0,0.0,0.0,"South Fork CCD, Flathead County, Montana",029,93171,30
0.0,0.0,0.0,0.0,0.0,0.0,"Melstone CCD, Musselshell County, Montana",065,92289,30
67.0,13.0,26.0,28.0,0.0,0.0,"Roundup CCD, Musselshell County, Montana",065,92877,30
23.0,11.0,12.0,0.0,0.0,0.0,"Klein CCD, Musselshell County, Montana",065,91953,30
94.0,50.0,38.0,6.0,0.0,0.0,"Malta CCD, Phillips County, Montana",071,92205,30
0.0,0.0,0.0,0.0,0.0,0.0,"Whitewater CCD, Phillips County, Montana",071,93864,30
12.0,12.0,0.0,0.0,0.0,0.0,"Shirley-Ismay CCD, Custer County, Montana",017,93087,30
352.0,218.0,15.0,32.0,87.0,0.0,"Miles City CCD, Custer County, Montana",017,92310,30
5.0,5.0,0.0,0.0,0.0,0.0,"North Custer CCD, Custer County, Montana",017,92415,30
489.0,410.0,54.0,8.0,4.0,13.0,"Havre CCD, Hill County, Montana",041,91701,30
71.0,49.0,10.0,0.0,12.0,0.0,"Rocky Boy's CCD, Hill County, Montana",041,92814,30
0.0,0.0,0.0,0.0,0.0,0.0,"Wild Horse Lake CCD, Hill County, Montana",041,93906,30
0.0,0.0,0.0,0.0,0.0,0.0,"Rudyard CCD, Hill County, Montana",041,92919,30
6.0,6.0,0.0,0.0,0.0,0.0,"Gildford CCD, Hill County, Montana",041,91428,30
115.0,72.0,0.0,43.0,0.0,0.0,"Big Sandy CCD, Chouteau County, Montana",015,90294,30
15.0,15.0,0.0,0.0,0.0,0.0,"Fort Benton CCD, Chouteau County, Montana",015,91197,30
2.0,2.0,0.0,0.0,0.0,0.0,"Geraldine CCD, Chouteau County, Montana",015,91386,30
12.0,12.0,0.0,0.0,0.0,0.0,"East Powder River CCD, Powder River County, Montana",075,90987,30
14.0,10.0,0.0,0.0,4.0,0.0,"Otter CCD, Powder River County, Montana",075,92583,30
322.0,254.0,68.0,0.0,0.0,0.0,"Libby CCD, Lincoln County, Montana",053,92058,30
155.0,101.0,0.0,10.0,0.0,44.0,"Eureka CCD, Lincoln County, Montana",053,91071,30
48.0,45.0,0.0,0.0,3.0,0.0,"Troy CCD, Lincoln County, Montana",053,93612,30
67.0,50.0,0.0,1.0,2.0,14.0,"Gardiner-Cooke City CCD, Park County, Montana",067,91365,30
22.0,13.0,0.0,2.0,7.0,0.0,"Shields Valley CCD, Park County, Montana",067,93066,30
135.0,129.0,0.0,0.0,6.0,0.0,"East Roosevelt CCD, Roosevelt County, Montana",085,91008,30
232.0,182.0,33.0,0.0,17.0,0.0,"Fort Peck Reservation CCD, Roosevelt County, Montana",085,91239,30
19.0,6.0,13.0,0.0,0.0,0.0,"South Treasure CCD, Treasure County, Montana",103,93255,30
0.0,0.0,0.0,0.0,0.0,0.0,"North Treasure CCD, Treasure County, Montana",103,92520,30
19.0,11.0,8.0,0.0,0.0,0.0,"Harlem CCD, Blaine County, Montana",005,91638,30
95.0,62.0,24.0,9.0,0.0,0.0,"Fort Belknap CCD, Blaine County, Montana",005,91176,30
50.0,16.0,1.0,0.0,12.0,21.0,"Chinook CCD, Blaine County, Montana",005,90588,30
0.0,0.0,0.0,0.0,0.0,0.0,"Joplin CCD, Liberty County, Montana",051,91848,30
21.0,21.0,0.0,0.0,0.0,0.0,"Chester CCD, Liberty County, Montana",051,90567,30
0.0,0.0,0.0,0.0,0.0,0.0,"North of the Yellowstone CCD, Sweet Grass County, Montana",097,92499,30
57.0,55.0,2.0,0.0,0.0,0.0,"South of the Yellowstone CCD, Sweet Grass County, Montana",097,93213,30
48.0,48.0,0.0,0.0,0.0,0.0,"Fairview CCD, Richland County, Montana",083,91113,30
0.0,0.0,0.0,0.0,0.0,0.0,"Lambert CCD, Richland County, Montana",083,91974,30
503.0,209.0,35.0,0.0,259.0,0.0,"Sidney CCD, Richland County, Montana",083,93108,30
34.0,28.0,6.0,0.0,0.0,0.0,"Savage-Crane CCD, Richland County, Montana",083,92982,30
17.0,12.0,4.0,0.0,1.0,0.0,"Dutton-Power CCD, Teton County, Montana",099,90966,30
61.0,23.0,10.0,28.0,0.0,0.0,"Choteau CCD, Teton County, Montana",099,90609,30
12.0,12.0,0.0,0.0,0.0,0.0,"Fairfield CCD, Teton County, Montana",099,91092,30
15.0,15.0,0.0,0.0,0.0,0.0,"Terry South CCD, Prairie County, Montana",079,93486,30
2.0,2.0,0.0,0.0,0.0,0.0,"Terry North CCD, Prairie County, Montana",079,93465,30
157.0,52.0,0.0,90.0,15.0,0.0,"Shelby CCD, Toole County, Montana",101,93014,30
116.0,87.0,0.0,11.0,18.0,0.0,"Woods Bay-Rollins CCD, Lake County, Montana",047,94000,30
1123.0,915.0,130.0,34.0,43.0,1.0,"Flathead Reservation CCD, Lake County, Montana",047,91123,30
197.0,187.0,0.0,0.0,10.0,0.0,"Big Sky CCD, Gallatin County, Montana",031,90305,30
0.0,0.0,0.0,0.0,0.0,0.0,"Yellowstone National Park CCD, Gallatin County, Montana",031,94017,30
75.0,38.0,8.0,26.0,3.0,0.0,"Warm Springs CCD, Deer Lodge County, Montana",023,93728,30
7.0,0.0,7.0,0.0,0.0,0.0,"South Custer CCD, Custer County, Montana",017,93160,30
0.0,0.0,0.0,0.0,0.0,0.0,"Pine Hill-St. Phillips CCD, Wibaux County, Montana",109,92667,30
69.0,69.0,0.0,0.0,0.0,0.0,"Northern Cheyenne Reservation CCD, Rosebud County, Montana",087,92457,30
93.0,93.0,0.0,0.0,0.0,0.0,"Northern Cheyenne Reservation CCD, Big Horn County, Montana",003,92436,30
10.0,9.0,0.0,1.0,0.0,0.0,"Decker CCD, Big Horn County, Montana",003,90850,30
14.0,14.0,0.0,0.0,0.0,0.0,"Broadus CCD, Powder River County, Montana",075,90441,30
