B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_012E,name,county,county subdivision,state
2394.0,2179.0,75.0,0.0,32.0,0.0,0.0,54.0,54.0,"District 7, Johnson County, Tennessee",091,91232,47
49887.0,24954.0,18409.0,192.0,638.0,0.0,203.0,1937.0,3554.0,"District 1, Knox County, Tennessee",093,90094,47
51384.0,41834.0,5327.0,130.0,511.0,33.0,57.0,1574.0,1918.0,"District 2, Knox County, Tennessee",093,90284,47
51086.0,39485.0,5257.0,82.0,1355.0,39.0,70.0,1115.0,3683.0,"District 3, Knox County, Tennessee",093,90474,47
49432.0,41574.0,1755.0,222.0,2489.0,33.0,196.0,1060.0,2103.0,"District 4, Knox County, Tennessee",093,90664,47
51277.0,45529.0,1051.0,52.0,2486.0,0.0,44.0,417.0,1698.0,"District 5, Knox County, Tennessee",093,90854,47
52809.0,47426.0,1691.0,126.0,953.0,0.0,84.0,759.0,1770.0,"District 6, Knox County, Tennessee",093,91044,47
51609.0,48819.0,561.0,14.0,215.0,0.0,44.0,503.0,1453.0,"District 7, Knox County, Tennessee",093,91234,47
48372.0,44873.0,1771.0,74.0,357.0,13.0,0.0,599.0,685.0,"District 8, Knox County, Tennessee",093,91424,47
46430.0,39560.0,3917.0,81.0,706.0,95.0,213.0,708.0,1150.0,"District 9, Knox County, Tennessee",093,91614,47
2715.0,1399.0,1187.0,5.0,9.0,0.0,18.0,21.0,76.0,"District 1, Lake County, Tennessee",095,90096,47
2264.0,1538.0,658.0,0.0,3.0,0.0,0.0,29.0,36.0,"District 2, Lake County, Tennessee",095,90286,47
2609.0,2151.0,366.0,3.0,2.0,4.0,0.0,31.0,52.0,"District 3, Lake County, Tennessee",095,90476,47
3079.0,1789.0,1120.0,64.0,0.0,0.0,8.0,86.0,12.0,"District 1, Lauderdale County, Tennessee",097,90098,47
7657.0,7142.0,0.0,0.0,66.0,0.0,0.0,154.0,295.0,"District 1, Sevier County, Tennessee",155,90156,47
8641.0,8280.0,3.0,78.0,37.0,0.0,0.0,16.0,227.0,"District 3, Sevier County, Tennessee",155,90536,47
10589.0,9089.0,31.0,112.0,26.0,0.0,0.0,402.0,929.0,"District 4, Sevier County, Tennessee",155,90726,47
11492.0,9247.0,92.0,58.0,398.0,0.0,0.0,118.0,1579.0,"District 5, Sevier County, Tennessee",155,90916,47
7752.0,7124.0,82.0,0.0,0.0,0.0,0.0,190.0,356.0,"District 6, Sevier County, Tennessee",155,91106,47
7992.0,6901.0,221.0,53.0,0.0,0.0,0.0,61.0,756.0,"District 7, Sevier County, Tennessee",155,91296,47
10882.0,10135.0,32.0,0.0,0.0,0.0,19.0,420.0,276.0,"District 8, Sevier County, Tennessee",155,91486,47
2699.0,2652.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,"District 12, Lawrence County, Tennessee",099,92190,47
2410.0,2270.0,65.0,0.0,0.0,0.0,23.0,27.0,25.0,"District 13, Lawrence County, Tennessee",099,92380,47
2326.0,2181.0,78.0,0.0,0.0,0.0,0.0,38.0,29.0,"District 14, Lawrence County, Tennessee",099,92570,47
1773.0,1690.0,13.0,0.0,32.0,0.0,0.0,38.0,0.0,"District 15, Lawrence County, Tennessee",099,92760,47
2996.0,2275.0,331.0,17.0,0.0,0.0,0.0,14.0,359.0,"District 16, Lawrence County, Tennessee",099,92950,47
2232.0,1977.0,217.0,0.0,0.0,0.0,31.0,0.0,7.0,"District 17, Lawrence County, Tennessee",099,93140,47
2422.0,2348.0,10.0,37.0,0.0,0.0,0.0,20.0,7.0,"District 18, Lawrence County, Tennessee",099,93330,47
1205.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,"District 1, Lewis County, Tennessee",101,90102,47
1535.0,1468.0,19.0,0.0,31.0,0.0,0.0,0.0,17.0,"District 2, Lewis County, Tennessee",101,90292,47
1111.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,"District 3, Lewis County, Tennessee",101,90482,47
1461.0,1403.0,45.0,0.0,0.0,0.0,0.0,0.0,13.0,"District 4, Lewis County, Tennessee",101,90672,47
3657.0,1835.0,1511.0,52.0,16.0,0.0,3.0,206.0,34.0,"District 2, Lauderdale County, Tennessee",097,90288,47
3337.0,2038.0,1117.0,3.0,69.0,0.0,0.0,8.0,102.0,"District 3, Lauderdale County, Tennessee",097,90478,47
3199.0,839.0,2180.0,18.0,15.0,0.0,0.0,147.0,0.0,"District 4, Lauderdale County, Tennessee",097,90668,47
3617.0,2066.0,1421.0,0.0,0.0,0.0,0.0,14.0,116.0,"District 5, Lauderdale County, Tennessee",097,90858,47
3444.0,2887.0,426.0,12.0,0.0,0.0,0.0,0.0,119.0,"District 6, Lauderdale County, Tennessee",097,91048,47
2983.0,2468.0,412.0,0.0,0.0,0.0,0.0,24.0,79.0,"District 7, Lauderdale County, Tennessee",097,91238,47
3181.0,2217.0,726.0,0.0,10.0,0.0,0.0,61.0,167.0,"District 8, Lauderdale County, Tennessee",097,91428,47
2427.0,2330.0,0.0,6.0,0.0,0.0,0.0,44.0,47.0,"District 1, Lawrence County, Tennessee",099,90100,47
2300.0,2205.0,57.0,0.0,0.0,0.0,0.0,33.0,5.0,"District 2, Lawrence County, Tennessee",099,90290,47
2259.0,2241.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,"District 3, Lawrence County, Tennessee",099,90480,47
2339.0,2295.0,0.0,13.0,0.0,0.0,0.0,17.0,14.0,"District 4, Lawrence County, Tennessee",099,90670,47
