B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
40.0,18.0,22.0,0.0,0.0,0.0,"Huron CCD, Fresno County, California",019,91360,06
7798.0,6546.0,964.0,74.0,21.0,193.0,"Greenfield-Panama CCD, Kern County, California",029,91160,06
36.0,36.0,0.0,0.0,0.0,0.0,"Riverdale CCD, Fresno County, California",019,92630,06
143.0,143.0,0.0,0.0,0.0,0.0,"Parlier-Del Rey CCD, Fresno County, California",019,92390,06
16105.0,13252.0,1938.0,358.0,155.0,402.0,"Bakersfield CCD, Kern County, California",029,90180,06
54.0,52.0,2.0,0.0,0.0,0.0,"Lake Isabella CCD, Kern County, California",029,91520,06
140.0,127.0,13.0,0.0,0.0,0.0,"Arvin-Lamont CCD, Kern County, California",029,90130,06
566.0,421.0,54.0,67.0,7.0,17.0,"Tehachapi CCD, Kern County, California",029,93320,06
220.0,165.0,7.0,48.0,0.0,0.0,"Wasco CCD, Kern County, California",029,93570,06
136.0,97.0,10.0,17.0,12.0,0.0,"Shafter CCD, Kern County, California",029,93000,06
3126.0,2621.0,263.0,100.0,93.0,49.0,"East Kern CCD, Kern County, California",029,90800,06
1.0,1.0,0.0,0.0,0.0,0.0,"Buttonwillow CCD, Kern County, California",029,90300,06
5530.0,4708.0,320.0,170.0,87.0,245.0,"Rosedale CCD, Kern County, California",029,92650,06
336860.0,294687.0,24060.0,9726.0,2715.0,5672.0,"Anaheim-Santa Ana-Garden Grove CCD, Orange County, California",059,90050,06
92508.0,83185.0,6450.0,1529.0,422.0,922.0,"North Coast CCD, Orange County, California",059,92150,06
2689.0,2512.0,101.0,63.0,5.0,8.0,"Moorpark CCD, Ventura County, California",111,92020,06
36938.0,26102.0,5338.0,2731.0,1102.0,1665.0,"Central Coast CCD, Orange County, California",059,90420,06
33448.0,27360.0,3779.0,699.0,571.0,1039.0,"South Coast CCD, Orange County, California",059,93110,06
4.0,4.0,0.0,0.0,0.0,0.0,"Los Padres CCD, Ventura County, California",111,91770,06
4226.0,3812.0,314.0,37.0,11.0,52.0,"Ventura CCD, Ventura County, California",111,93550,06
