B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,name,county,county subdivision,state
237.0,78.0,2.0,157.0,0.0,0.0,"Northbridge town, Worcester County, Massachusetts",027,46925,25
237.0,227.0,0.0,0.0,10.0,0.0,"Blackstone town, Worcester County, Massachusetts",027,06015,25
217.0,180.0,0.0,11.0,26.0,0.0,"Dudley town, Worcester County, Massachusetts",027,17685,25
114.0,97.0,4.0,13.0,0.0,0.0,"Millbury town, Worcester County, Massachusetts",027,41340,25
446.0,372.0,8.0,38.0,19.0,9.0,"Westborough town, Worcester County, Massachusetts",027,75015,25
23937.0,20805.0,1977.0,309.0,434.0,412.0,"Worcester city, Worcester County, Massachusetts",027,82000,25
329.0,321.0,8.0,0.0,0.0,0.0,"Uxbridge town, Worcester County, Massachusetts",027,71620,25
330.0,264.0,36.0,7.0,23.0,0.0,"Clinton town, Worcester County, Massachusetts",027,14395,25
5.0,5.0,0.0,0.0,0.0,0.0,"West Brookfield town, Worcester County, Massachusetts",027,75400,25
9.0,9.0,0.0,0.0,0.0,0.0,"Petersham town, Worcester County, Massachusetts",027,53120,25
134.0,129.0,4.0,1.0,0.0,0.0,"Amesbury Town city, Essex County, Massachusetts",009,01260,25
348.0,282.0,66.0,0.0,0.0,0.0,"Winthrop Town city, Suffolk County, Massachusetts",025,81005,25
457.0,272.0,73.0,95.0,15.0,2.0,"Greenfield Town city, Franklin County, Massachusetts",011,27100,25
411.0,309.0,100.0,2.0,0.0,0.0,"Easthampton Town city, Hampshire County, Massachusetts",015,19370,25
2215.0,1697.0,353.0,56.0,77.0,32.0,"Methuen Town city, Essex County, Massachusetts",009,40710,25
474.0,348.0,87.0,8.0,0.0,31.0,"Southbridge Town city, Worcester County, Massachusetts",027,63345,25
349.0,202.0,123.0,24.0,0.0,0.0,"Agawam Town city, Hampden County, Massachusetts",013,00840,25
185.0,170.0,0.0,0.0,0.0,15.0,"Palmer Town city, Hampden County, Massachusetts",013,52144,25
1371.0,1042.0,283.0,44.0,2.0,0.0,"West Springfield Town city, Hampden County, Massachusetts",013,77890,25
1983.0,1478.0,378.0,6.0,62.0,59.0,"Barnstable Town city, Barnstable County, Massachusetts",001,03690,25
664.0,410.0,172.0,79.0,0.0,3.0,"Watertown Town city, Middlesex County, Massachusetts",017,73440,25
304.0,149.0,99.0,8.0,42.0,6.0,"Franklin Town city, Norfolk County, Massachusetts",021,25172,25
2761.0,1998.0,450.0,55.0,258.0,0.0,"Weymouth Town city, Norfolk County, Massachusetts",021,78972,25
2.0,2.0,0.0,0.0,0.0,0.0,"Tyringham town, Berkshire County, Massachusetts",003,71095,25
1.0,1.0,0.0,0.0,0.0,0.0,"Clarksburg town, Berkshire County, Massachusetts",003,14010,25
26.0,26.0,0.0,0.0,0.0,0.0,"Dalton town, Berkshire County, Massachusetts",003,16180,25
82.0,82.0,0.0,0.0,0.0,0.0,"Lee town, Berkshire County, Massachusetts",003,34655,25
211.0,136.0,37.0,26.0,12.0,0.0,"North Adams city, Berkshire County, Massachusetts",003,46225,25
5.0,5.0,0.0,0.0,0.0,0.0,"Alford town, Berkshire County, Massachusetts",003,00975,25
56.0,10.0,37.0,0.0,9.0,0.0,"Lanesborough town, Berkshire County, Massachusetts",003,34340,25
2022.0,1719.0,190.0,17.0,33.0,63.0,"Pittsfield city, Berkshire County, Massachusetts",003,53960,25
29.0,12.0,4.0,0.0,13.0,0.0,"Egremont town, Berkshire County, Massachusetts",003,21360,25
16.0,8.0,2.0,6.0,0.0,0.0,"New Marlborough town, Berkshire County, Massachusetts",003,45420,25
9.0,9.0,0.0,0.0,0.0,0.0,"Otis town, Berkshire County, Massachusetts",003,51580,25
10.0,6.0,0.0,0.0,4.0,0.0,"Richmond town, Berkshire County, Massachusetts",003,56795,25
0.0,0.0,0.0,0.0,0.0,0.0,"Washington town, Berkshire County, Massachusetts",003,73335,25
64.0,64.0,0.0,0.0,0.0,0.0,"Adams town, Berkshire County, Massachusetts",003,00555,25
27.0,27.0,0.0,0.0,0.0,0.0,"Becket town, Berkshire County, Massachusetts",003,04545,25
26.0,21.0,5.0,0.0,0.0,0.0,"Stockbridge town, Berkshire County, Massachusetts",003,67595,25
100.0,48.0,10.0,29.0,13.0,0.0,"Lenox town, Berkshire County, Massachusetts",003,34970,25
262.0,198.0,9.0,15.0,40.0,0.0,"Great Barrington town, Berkshire County, Massachusetts",003,26815,25
0.0,0.0,0.0,0.0,0.0,0.0,"Windsor town, Berkshire County, Massachusetts",003,80685,25
2.0,0.0,2.0,0.0,0.0,0.0,"Acushnet town, Bristol County, Massachusetts",005,00520,25
941.0,855.0,0.0,85.0,0.0,1.0,"Easton town, Bristol County, Massachusetts",005,20100,25
40.0,39.0,0.0,1.0,0.0,0.0,"Freetown town, Bristol County, Massachusetts",005,25240,25
182.0,163.0,9.0,6.0,0.0,4.0,"Dighton town, Bristol County, Massachusetts",005,16950,25
585.0,469.0,1.0,43.0,13.0,59.0,"Mansfield town, Bristol County, Massachusetts",005,38225,25
634.0,475.0,15.0,115.0,29.0,0.0,"Norton town, Bristol County, Massachusetts",005,49970,25
56.0,54.0,1.0,0.0,0.0,1.0,"Somerset town, Bristol County, Massachusetts",005,62430,25
5723.0,4912.0,676.0,70.0,60.0,5.0,"New Bedford city, Bristol County, Massachusetts",005,45000,25
