B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
1386.0,90.0,8.0,25.0,80.0,7.0,138.0,23.0,12.0,24.0,83.0,182.0,331.0,163.0,44.0,107.0,69.0,"Port Orchard CCD, Kitsap County, Washington",035,92608,53
1744.0,134.0,29.0,117.0,75.0,123.0,141.0,52.0,144.0,77.0,152.0,149.0,152.0,100.0,137.0,103.0,59.0,"Enumclaw Plateau CCD, King County, Washington",033,91056,53
1064.0,30.0,8.0,13.0,42.0,39.0,9.0,0.0,69.0,30.0,77.0,262.0,186.0,133.0,49.0,12.0,105.0,"Tahoma-Maple Valley CCD, King County, Washington",033,93392,53
31346.0,1722.0,1428.0,1140.0,1469.0,1417.0,1980.0,1561.0,1554.0,1667.0,2618.0,3813.0,4003.0,2561.0,1408.0,1567.0,1438.0,"Seattle CCD, King County, Washington",033,92928,53
162.0,0.0,21.0,0.0,13.0,0.0,19.0,17.0,0.0,33.0,0.0,0.0,0.0,0.0,18.0,20.0,21.0,"Vashon Island CCD, King County, Washington",033,93616,53
1072.0,49.0,12.0,40.0,40.0,17.0,9.0,17.0,45.0,19.0,69.0,44.0,68.0,190.0,66.0,190.0,197.0,"Issaquah Plateau CCD, King County, Washington",033,91392,53
845.0,33.0,19.0,88.0,11.0,13.0,14.0,44.0,32.0,57.0,38.0,97.0,87.0,74.0,54.0,64.0,120.0,"Snoqualmie Valley CCD, King County, Washington",033,93078,53
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,"Naselle CCD, Pacific County, Washington",049,92128,53
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,"Willapa Valley CCD, Pacific County, Washington",049,93776,53
206.0,6.0,0.0,11.0,30.0,0.0,17.0,12.0,9.0,35.0,41.0,22.0,13.0,10.0,0.0,0.0,0.0,"Raymond CCD, Pacific County, Washington",049,92736,53
140.0,0.0,2.0,0.0,22.0,17.0,15.0,0.0,0.0,5.0,14.0,38.0,27.0,0.0,0.0,0.0,0.0,"Newport CCD, Pend Oreille County, Washington",051,92160,53
19.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,"Ione-Metaline Falls CCD, Pend Oreille County, Washington",051,91376,53
120.0,8.0,34.0,0.0,8.0,10.0,0.0,9.0,0.0,11.0,6.0,6.0,21.0,7.0,0.0,0.0,0.0,"Orcas CCD, San Juan County, Washington",055,92432,53
39.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,9.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,"Lopez CCD, San Juan County, Washington",055,91696,53
