B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Chilton town, Calumet County, Wisconsin",015,14500,55
0.0,0.0,0.0,"Rantoul town, Calumet County, Wisconsin",015,66275,55
0.0,0.0,0.0,"Harrison town, Calumet County, Wisconsin",015,32800,55
0.0,0.0,0.0,"Kiel city, Calumet County, Wisconsin",015,39525,55
48.0,48.0,0.0,"Sherwood village, Calumet County, Wisconsin",015,73525,55
219.0,85.0,134.0,"Appleton city, Calumet County, Wisconsin",015,02375,55
4.0,4.0,0.0,"Brillion town, Calumet County, Wisconsin",015,09750,55
60.0,0.0,60.0,"Chilton city, Calumet County, Wisconsin",015,14475,55
10.0,10.0,0.0,"Menasha city, Calumet County, Wisconsin",015,50825,55
0.0,0.0,0.0,"Stockbridge town, Calumet County, Wisconsin",015,77425,55
0.0,0.0,0.0,"Kaukauna city, Calumet County, Wisconsin",015,38800,55
0.0,0.0,0.0,"Harrison village, Outagamie County, Wisconsin",087,32790,55
65.0,65.0,0.0,"Bloomfield village, Walworth County, Wisconsin",127,08265,55
25.0,2.0,23.0,"Poy Sippi town, Waushara County, Wisconsin",137,64975,55
16.0,16.0,0.0,"Harrison village, Calumet County, Wisconsin",015,32790,55
37.0,28.0,9.0,"Richfield village, Washington County, Wisconsin",131,67475,55
0.0,0.0,0.0,"Ontario village, Monroe County, Wisconsin",081,60075,55
0.0,0.0,0.0,"Brodhead city, Rock County, Wisconsin",105,09925,55
0.0,0.0,0.0,"Lake Hallie village, Chippewa County, Wisconsin",017,41525,55
18.0,18.0,0.0,"Suamico village, Brown County, Wisconsin",009,77975,55
572.0,365.0,207.0,"Mount Pleasant village, Racine County, Wisconsin",101,54875,55
10.0,10.0,0.0,"Kronenwetter village, Marathon County, Wisconsin",073,40550,55
111.0,61.0,50.0,"Hobart village, Brown County, Wisconsin",009,35150,55
0.0,0.0,0.0,"Ashland city, Bayfield County, Wisconsin",007,03225,55
425.0,142.0,283.0,"Bellevue village, Brown County, Wisconsin",009,06350,55
0.0,0.0,0.0,"Lac La Belle village, Jefferson County, Wisconsin",055,40750,55
0.0,0.0,0.0,"Wrightstown village, Outagamie County, Wisconsin",087,89150,55
0.0,0.0,0.0,"Wisconsin Dells city, Juneau County, Wisconsin",057,88150,55
0.0,0.0,0.0,"Stanley city, Clark County, Wisconsin",019,76625,55
312.0,264.0,48.0,"Caledonia village, Racine County, Wisconsin",101,11950,55
50.0,50.0,0.0,"Summit village, Waukesha County, Wisconsin",133,78375,55
0.0,0.0,0.0,"Kewaskum village, Fond du Lac County, Wisconsin",039,39300,55
177.0,62.0,115.0,"Bristol village, Kenosha County, Wisconsin",059,09800,55
0.0,0.0,0.0,"Maine village, Marathon County, Wisconsin",073,48225,55
122.0,26.0,96.0,"Somers village, Kenosha County, Wisconsin",059,74625,55
71.0,13.0,58.0,"Windsor village, Dane County, Wisconsin",025,87725,55
2.0,1.0,1.0,"Erin Prairie town, St. Croix County, Wisconsin",109,24275,55
11.0,0.0,11.0,"Stanton town, St. Croix County, Wisconsin",109,76675,55
6.0,6.0,0.0,"Glenwood City city, St. Croix County, Wisconsin",109,29625,55
10.0,10.0,0.0,"St. Joseph town, St. Croix County, Wisconsin",109,70825,55
0.0,0.0,0.0,"Woodville village, St. Croix County, Wisconsin",109,89025,55
1.0,1.0,0.0,"Eau Galle town, St. Croix County, Wisconsin",109,22400,55
4.0,4.0,0.0,"Richmond town, St. Croix County, Wisconsin",109,67650,55
0.0,0.0,0.0,"River Falls city, St. Croix County, Wisconsin",109,68275,55
4.0,4.0,0.0,"Hammond village, St. Croix County, Wisconsin",109,32325,55
119.0,53.0,66.0,"Hudson city, St. Croix County, Wisconsin",109,36250,55
0.0,0.0,0.0,"Star Prairie town, St. Croix County, Wisconsin",109,76850,55
3.0,3.0,0.0,"Star Prairie village, St. Croix County, Wisconsin",109,76825,55
5.0,5.0,0.0,"Cady town, St. Croix County, Wisconsin",109,11775,55
7.0,0.0,7.0,"Cylon town, St. Croix County, Wisconsin",109,18300,55
0.0,0.0,0.0,"Forest town, St. Croix County, Wisconsin",109,26525,55
26.0,26.0,0.0,"Hudson town, St. Croix County, Wisconsin",109,36275,55
0.0,0.0,0.0,"Deer Park village, St. Croix County, Wisconsin",109,19325,55
13.0,11.0,2.0,"Hammond town, St. Croix County, Wisconsin",109,32350,55
0.0,0.0,0.0,"Kinnickinnic town, St. Croix County, Wisconsin",109,39825,55
42.0,18.0,24.0,"Baldwin village, St. Croix County, Wisconsin",109,04400,55
0.0,0.0,0.0,"Emerald town, St. Croix County, Wisconsin",109,23925,55
0.0,0.0,0.0,"Glenwood town, St. Croix County, Wisconsin",109,29600,55
31.0,0.0,31.0,"New Richmond city, St. Croix County, Wisconsin",109,57100,55
11.0,1.0,10.0,"Pleasant Valley town, St. Croix County, Wisconsin",109,63425,55
17.0,0.0,17.0,"Somerset village, St. Croix County, Wisconsin",109,74675,55
0.0,0.0,0.0,"Spring Valley village, St. Croix County, Wisconsin",109,76300,55
0.0,0.0,0.0,"Warren town, St. Croix County, Wisconsin",109,83400,55
0.0,0.0,0.0,"North Hudson village, St. Croix County, Wisconsin",109,58050,55
11.0,2.0,9.0,"Roberts village, St. Croix County, Wisconsin",109,68475,55
1.0,1.0,0.0,"Rush River town, St. Croix County, Wisconsin",109,70200,55
1.0,1.0,0.0,"Wilson village, St. Croix County, Wisconsin",109,87475,55
0.0,0.0,0.0,"Townsend town, Oconto County, Wisconsin",083,80325,55
0.0,0.0,0.0,"Bagley town, Oconto County, Wisconsin",083,04275,55
21.0,4.0,17.0,"Gillett city, Oconto County, Wisconsin",083,29050,55
19.0,9.0,10.0,"Underhill town, Oconto County, Wisconsin",083,81475,55
0.0,0.0,0.0,"Oconto Falls city, Oconto County, Wisconsin",083,59400,55
0.0,0.0,0.0,"Pulaski village, Oconto County, Wisconsin",083,65675,55
16.0,16.0,0.0,"Chase town, Oconto County, Wisconsin",083,14125,55
4.0,0.0,4.0,"Lena village, Oconto County, Wisconsin",083,43325,55
3.0,0.0,3.0,"Oconto Falls town, Oconto County, Wisconsin",083,59425,55
9.0,9.0,0.0,"Maple Valley town, Oconto County, Wisconsin",083,49000,55
0.0,0.0,0.0,"Spruce town, Oconto County, Wisconsin",083,76450,55
0.0,0.0,0.0,"Riverview town, Oconto County, Wisconsin",083,68400,55
8.0,0.0,8.0,"Suring village, Oconto County, Wisconsin",083,78725,55
0.0,0.0,0.0,"Breed town, Oconto County, Wisconsin",083,09425,55
0.0,0.0,0.0,"Doty town, Oconto County, Wisconsin",083,20475,55
0.0,0.0,0.0,"How town, Oconto County, Wisconsin",083,35925,55
