B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Boynton CCD, Muskogee County, Oklahoma",101,90312,40
18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,"Haskell CCD, Muskogee County, Oklahoma",101,91261,40
793.0,71.0,46.0,48.0,75.0,73.0,23.0,30.0,71.0,29.0,64.0,76.0,61.0,106.0,0.0,20.0,0.0,"Muskogee CCD, Muskogee County, Oklahoma",101,91924,40
7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Porum CCD, Muskogee County, Oklahoma",101,92574,40
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,"Warner CCD, Muskogee County, Oklahoma",101,93562,40
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,11.0,6.0,14.0,0.0,0.0,0.0,"Weleetka CCD, Okfuskee County, Oklahoma",107,93640,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Boley CCD, Okfuskee County, Oklahoma",107,90299,40
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,"Paden CCD, Okfuskee County, Oklahoma",107,92457,40
53.0,17.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,"Okemah CCD, Okfuskee County, Oklahoma",107,92405,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North Atoka CCD, Atoka County, Oklahoma",005,92028,40
18.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"West Atoka CCD, Atoka County, Oklahoma",005,93666,40
90.0,25.0,4.0,9.0,28.0,4.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Central Atoka CCD, Atoka County, Oklahoma",005,90481,40
8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"South Bryan CCD, Bryan County, Oklahoma",013,92873,40
471.0,22.0,11.0,34.0,36.0,70.0,59.0,51.0,15.0,21.0,36.0,38.0,30.0,0.0,0.0,21.0,27.0,"Durant CCD, Bryan County, Oklahoma",013,90793,40
26.0,0.0,4.0,0.0,2.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"North Central Bryan CCD, Bryan County, Oklahoma",013,92054,40
28.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,"Colbert CCD, Bryan County, Oklahoma",013,90624,40
19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"East Bryan CCD, Bryan County, Oklahoma",013,90819,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Southeast Bryan CCD, Bryan County, Oklahoma",013,92938,40
37.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"Seiling CCD, Dewey County, Oklahoma",043,92769,40
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vici CCD, Dewey County, Oklahoma",043,93458,40
115.0,18.0,13.0,4.0,1.0,5.0,0.0,16.0,0.0,13.0,0.0,0.0,25.0,3.0,15.0,1.0,1.0,"Laverne CCD, Harper County, Oklahoma",059,91638,40
54.0,0.0,2.0,13.0,0.0,0.0,1.0,1.0,14.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,"Buffalo CCD, Harper County, Oklahoma",059,90377,40
603.0,43.0,50.0,73.0,57.0,15.0,60.0,42.0,6.0,16.0,24.0,63.0,70.0,63.0,11.0,0.0,10.0,"Ponca City CCD, Kay County, Oklahoma",071,92561,40
72.0,6.0,5.0,3.0,0.0,7.0,9.0,2.0,4.0,7.0,8.0,15.0,4.0,0.0,0.0,2.0,0.0,"Tonkawa CCD, Kay County, Oklahoma",071,93367,40
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,"Kaw City CCD, Kay County, Oklahoma",071,91521,40
213.0,31.0,0.0,34.0,8.0,15.0,27.0,33.0,0.0,27.0,0.0,11.0,0.0,11.0,0.0,16.0,0.0,"Blackwell CCD, Kay County, Oklahoma",071,90260,40
28.0,5.0,3.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,"Newkirk CCD, Kay County, Oklahoma",071,91950,40
2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Braman CCD, Kay County, Oklahoma",071,90325,40
26.0,5.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,"Crescent CCD, Logan County, Oklahoma",083,90689,40
5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"East Logan CCD, Logan County, Oklahoma",083,90910,40
508.0,25.0,20.0,8.0,118.0,54.0,17.0,0.0,7.0,3.0,46.0,58.0,89.0,24.0,4.0,35.0,0.0,"Guthrie CCD, Logan County, Oklahoma",083,91222,40
15.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"North Logan CCD, Logan County, Oklahoma",083,92197,40
18.0,0.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,"North Craig CCD, Craig County, Oklahoma",035,92106,40
10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,"Vinita West CCD, Craig County, Oklahoma",035,93484,40
74.0,0.0,6.0,13.0,0.0,9.0,6.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vinita East CCD, Craig County, Oklahoma",035,93471,40
350.0,22.0,19.0,0.0,21.0,17.0,15.0,19.0,0.0,36.0,12.0,44.0,54.0,41.0,0.0,34.0,16.0,"South Tulsa CCD, Tulsa County, Oklahoma",143,93107,40
94.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,12.0,6.0,29.0,15.0,0.0,4.0,0.0,"North Tulsa CCD, Tulsa County, Oklahoma",143,92236,40
