B25003B_001E,B25003B_002E,B25003B_003E,name,county,county subdivision,state
11.0,0.0,11.0,"Brighton town, Essex County, Vermont",009,08725,50
0.0,0.0,0.0,"Warner's grant, Essex County, Vermont",009,76337,50
0.0,0.0,0.0,"Granby town, Essex County, Vermont",009,29125,50
0.0,0.0,0.0,"Concord town, Essex County, Vermont",009,15250,50
0.0,0.0,0.0,"Lunenburg town, Essex County, Vermont",009,41425,50
0.0,0.0,0.0,"Ferdinand town, Essex County, Vermont",009,25975,50
0.0,0.0,0.0,"Berlin town, Washington County, Vermont",023,05650,50
0.0,0.0,0.0,"East Montpelier town, Washington County, Vermont",023,21925,50
0.0,0.0,0.0,"Woodbury town, Washington County, Vermont",023,85525,50
0.0,0.0,0.0,"Worcester town, Washington County, Vermont",023,86125,50
0.0,0.0,0.0,"Waitsfield town, Washington County, Vermont",023,75325,50
0.0,0.0,0.0,"Duxbury town, Washington County, Vermont",023,18550,50
0.0,0.0,0.0,"Roxbury town, Washington County, Vermont",023,60625,50
0.0,0.0,0.0,"Waterbury town, Washington County, Vermont",023,76975,50
0.0,0.0,0.0,"Calais town, Washington County, Vermont",023,11350,50
0.0,0.0,0.0,"Middlesex town, Washington County, Vermont",023,44500,50
0.0,0.0,0.0,"Moretown town, Washington County, Vermont",023,46225,50
6.0,0.0,6.0,"Plainfield town, Washington County, Vermont",023,55825,50
7.0,7.0,0.0,"Warren town, Washington County, Vermont",023,76525,50
0.0,0.0,0.0,"Marshfield town, Washington County, Vermont",023,43600,50
104.0,0.0,104.0,"Montpelier city, Washington County, Vermont",023,46000,50
0.0,0.0,0.0,"Northfield town, Washington County, Vermont",023,50275,50
5.0,5.0,0.0,"Fayston town, Washington County, Vermont",023,25825,50
0.0,0.0,0.0,"Cabot town, Washington County, Vermont",023,11125,50
0.0,0.0,0.0,"Barre town, Washington County, Vermont",023,03250,50
30.0,0.0,30.0,"Barre city, Washington County, Vermont",023,03175,50
0.0,0.0,0.0,"Alburgh town, Grand Isle County, Vermont",013,00860,50
17.0,0.0,17.0,"Enosburgh town, Franklin County, Vermont",011,24050,50
0.0,0.0,0.0,"Ferrisburgh town, Addison County, Vermont",001,26300,50
