B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,name,county,county subdivision,state
73.0,47.0,0.0,0.0,26.0,0.0,"Pike township, Clearfield County, Pennsylvania",033,60192,42
4.0,4.0,0.0,0.0,0.0,0.0,"Bloom township, Clearfield County, Pennsylvania",033,07008,42
24.0,17.0,7.0,0.0,0.0,0.0,"Goshen township, Clearfield County, Pennsylvania",033,30152,42
17.0,17.0,0.0,0.0,0.0,0.0,"Huston township, Clearfield County, Pennsylvania",033,36512,42
0.0,0.0,0.0,0.0,0.0,0.0,"Mahaffey borough, Clearfield County, Pennsylvania",033,46568,42
0.0,0.0,0.0,0.0,0.0,0.0,"Ramey borough, Clearfield County, Pennsylvania",033,63360,42
16.0,16.0,0.0,0.0,0.0,0.0,"Girard township, Clearfield County, Pennsylvania",033,29224,42
0.0,0.0,0.0,0.0,0.0,0.0,"Newburg borough, Clearfield County, Pennsylvania",033,53336,42
18.0,18.0,0.0,0.0,0.0,0.0,"Osceola Mills borough, Clearfield County, Pennsylvania",033,57232,42
7.0,0.0,0.0,7.0,0.0,0.0,"Youngsville borough, Warren County, Pennsylvania",123,87224,42
0.0,0.0,0.0,0.0,0.0,0.0,"Elk township, Warren County, Pennsylvania",123,23064,42
37.0,27.0,0.0,0.0,10.0,0.0,"Pine Grove township, Warren County, Pennsylvania",123,60480,42
4.0,2.0,0.0,2.0,0.0,0.0,"Watson township, Warren County, Pennsylvania",123,81584,42
4.0,4.0,0.0,0.0,0.0,0.0,"Pittsfield township, Warren County, Pennsylvania",123,61040,42
20.0,0.0,9.0,11.0,0.0,0.0,"Triumph township, Warren County, Pennsylvania",123,77512,42
9.0,1.0,4.0,0.0,4.0,0.0,"Brokenstraw township, Warren County, Pennsylvania",123,09024,42
1.0,0.0,1.0,0.0,0.0,0.0,"Cherry Grove township, Warren County, Pennsylvania",123,13056,42
37.0,37.0,0.0,0.0,0.0,0.0,"Columbus township, Warren County, Pennsylvania",123,15408,42
5.0,5.0,0.0,0.0,0.0,0.0,"Deerfield township, Warren County, Pennsylvania",123,18560,42
0.0,0.0,0.0,0.0,0.0,0.0,"Bear Lake borough, Warren County, Pennsylvania",123,04608,42
0.0,0.0,0.0,0.0,0.0,0.0,"Mead township, Warren County, Pennsylvania",123,48272,42
2.0,2.0,0.0,0.0,0.0,0.0,"Eldred township, Warren County, Pennsylvania",123,22920,42
28.0,28.0,0.0,0.0,0.0,0.0,"Farmington township, Warren County, Pennsylvania",123,25304,42
9.0,9.0,0.0,0.0,0.0,0.0,"Tidioute borough, Warren County, Pennsylvania",123,76696,42
164.0,155.0,9.0,0.0,0.0,0.0,"Warren city, Warren County, Pennsylvania",123,81000,42
2.0,2.0,0.0,0.0,0.0,0.0,"Spring Creek township, Warren County, Pennsylvania",123,72952,42
22.0,22.0,0.0,0.0,0.0,0.0,"Glade township, Warren County, Pennsylvania",123,29328,42
0.0,0.0,0.0,0.0,0.0,0.0,"Sugar Grove borough, Warren County, Pennsylvania",123,75024,42
5.0,5.0,0.0,0.0,0.0,0.0,"Limestone township, Warren County, Pennsylvania",123,43372,42
0.0,0.0,0.0,0.0,0.0,0.0,"Clarendon borough, Warren County, Pennsylvania",123,13776,42
0.0,0.0,0.0,0.0,0.0,0.0,"Sheffield township, Warren County, Pennsylvania",123,69992,42
3.0,3.0,0.0,0.0,0.0,0.0,"Sugar Grove township, Warren County, Pennsylvania",123,75032,42
19.0,12.0,7.0,0.0,0.0,0.0,"Madison township, Columbia County, Pennsylvania",037,46472,42
100.0,96.0,0.0,0.0,0.0,4.0,"Scott township, Columbia County, Pennsylvania",037,68392,42
20.0,20.0,0.0,0.0,0.0,0.0,"South Centre township, Columbia County, Pennsylvania",037,72040,42
0.0,0.0,0.0,0.0,0.0,0.0,"Stillwater borough, Columbia County, Pennsylvania",037,74184,42
0.0,0.0,0.0,0.0,0.0,0.0,"Beaver township, Columbia County, Pennsylvania",037,04704,42
92.0,81.0,11.0,0.0,0.0,0.0,"Mifflin township, Columbia County, Pennsylvania",037,49256,42
0.0,0.0,0.0,0.0,0.0,0.0,"Jackson township, Columbia County, Pennsylvania",037,37360,42
208.0,144.0,58.0,6.0,0.0,0.0,"Adams township, Butler County, Pennsylvania",019,00300,42
28.0,11.0,0.0,0.0,17.0,0.0,"Concord township, Butler County, Pennsylvania",019,15480,42
26.0,0.0,0.0,0.0,26.0,0.0,"Donegal township, Butler County, Pennsylvania",019,19456,42
0.0,0.0,0.0,0.0,0.0,0.0,"Fairview borough, Butler County, Pennsylvania",019,24832,42
366.0,210.0,104.0,2.0,20.0,30.0,"Butler city, Butler County, Pennsylvania",019,10464,42
28.0,28.0,0.0,0.0,0.0,0.0,"Clay township, Butler County, Pennsylvania",019,13936,42
33.0,33.0,0.0,0.0,0.0,0.0,"Evans City borough, Butler County, Pennsylvania",019,24248,42
8.0,0.0,8.0,0.0,0.0,0.0,"Marion township, Butler County, Pennsylvania",019,47448,42
33.0,30.0,0.0,0.0,3.0,0.0,"Middlesex township, Butler County, Pennsylvania",019,49056,42
2.0,2.0,0.0,0.0,0.0,0.0,"Parker township, Butler County, Pennsylvania",019,57984,42
0.0,0.0,0.0,0.0,0.0,0.0,"Winfield township, Butler County, Pennsylvania",019,85784,42
44.0,23.0,19.0,0.0,0.0,2.0,"Worth township, Butler County, Pennsylvania",019,86536,42
13.0,0.0,0.0,13.0,0.0,0.0,"Zelienople borough, Butler County, Pennsylvania",019,87272,42
4.0,4.0,0.0,0.0,0.0,0.0,"West Sunbury borough, Butler County, Pennsylvania",019,84064,42
0.0,0.0,0.0,0.0,0.0,0.0,"Eau Claire borough, Butler County, Pennsylvania",019,22128,42
45.0,45.0,0.0,0.0,0.0,0.0,"Clearfield township, Butler County, Pennsylvania",019,14048,42
81.0,46.0,0.0,35.0,0.0,0.0,"Clinton township, Butler County, Pennsylvania",019,14320,42
0.0,0.0,0.0,0.0,0.0,0.0,"Connoquenessing borough, Butler County, Pennsylvania",019,15808,42
0.0,0.0,0.0,0.0,0.0,0.0,"Connoquenessing township, Butler County, Pennsylvania",019,15816,42
0.0,0.0,0.0,0.0,0.0,0.0,"Harmony borough, Butler County, Pennsylvania",019,32688,42
0.0,0.0,0.0,0.0,0.0,0.0,"Karns City borough, Butler County, Pennsylvania",019,38768,42
51.0,51.0,0.0,0.0,0.0,0.0,"Slippery Rock borough, Butler County, Pennsylvania",019,71184,42
2.0,0.0,2.0,0.0,0.0,0.0,"Valencia borough, Butler County, Pennsylvania",019,79504,42
10.0,0.0,0.0,10.0,0.0,0.0,"Allegheny township, Butler County, Pennsylvania",019,00860,42
142.0,142.0,0.0,0.0,0.0,0.0,"Buffalo township, Butler County, Pennsylvania",019,10000,42
0.0,0.0,0.0,0.0,0.0,0.0,"Callery borough, Butler County, Pennsylvania",019,10800,42
680.0,488.0,108.0,0.0,51.0,33.0,"Cranberry township, Butler County, Pennsylvania",019,16920,42
39.0,39.0,0.0,0.0,0.0,0.0,"Franklin township, Butler County, Pennsylvania",019,27352,42
29.0,29.0,0.0,0.0,0.0,0.0,"Mars borough, Butler County, Pennsylvania",019,47672,42
0.0,0.0,0.0,0.0,0.0,0.0,"Petrolia borough, Butler County, Pennsylvania",019,59672,42
21.0,5.0,0.0,10.0,6.0,0.0,"Summit township, Butler County, Pennsylvania",019,75184,42
153.0,120.0,15.0,18.0,0.0,0.0,"Butler township, Butler County, Pennsylvania",019,10472,42
0.0,0.0,0.0,0.0,0.0,0.0,"Fairview township, Butler County, Pennsylvania",019,24840,42
62.0,62.0,0.0,0.0,0.0,0.0,"Jackson township, Butler County, Pennsylvania",019,37344,42
12.0,12.0,0.0,0.0,0.0,0.0,"Lancaster township, Butler County, Pennsylvania",019,41208,42
40.0,40.0,0.0,0.0,0.0,0.0,"Muddy Creek township, Butler County, Pennsylvania",019,52176,42
1.0,0.0,0.0,0.0,0.0,1.0,"Portersville borough, Butler County, Pennsylvania",019,62224,42
0.0,0.0,0.0,0.0,0.0,0.0,"Bruin borough, Butler County, Pennsylvania",019,09528,42
26.0,26.0,0.0,0.0,0.0,0.0,"Center township, Butler County, Pennsylvania",019,12024,42
9.0,9.0,0.0,0.0,0.0,0.0,"Cherry township, Butler County, Pennsylvania",019,12992,42
0.0,0.0,0.0,0.0,0.0,0.0,"Cherry Valley borough, Butler County, Pennsylvania",019,13152,42
4.0,4.0,0.0,0.0,0.0,0.0,"Brady township, Butler County, Pennsylvania",019,08096,42
8.0,2.0,0.0,0.0,6.0,0.0,"East Butler borough, Butler County, Pennsylvania",019,20904,42
59.0,59.0,0.0,0.0,0.0,0.0,"Penn township, Butler County, Pennsylvania",019,58792,42
3.0,3.0,0.0,0.0,0.0,0.0,"Harrisville borough, Butler County, Pennsylvania",019,32896,42
0.0,0.0,0.0,0.0,0.0,0.0,"Jefferson township, Butler County, Pennsylvania",019,37848,42
0.0,0.0,0.0,0.0,0.0,0.0,"Oakland township, Butler County, Pennsylvania",019,55992,42
128.0,128.0,0.0,0.0,0.0,0.0,"Slippery Rock township, Butler County, Pennsylvania",019,71192,42
